label,model,EbN0_dB,blocks,block_errors,BLER,BLER_CI95_low,BLER_CI95_high,bit_errors_info,BER,avg_iterations,avg_iteration_se,avg_success_iterations,max_iterations_observed,fraction_reaching_max_iterations,undetected_errors,syndrome_pass_count,convergence_failures,channel_saturation_count,channel_quantizer_clip_count,app_init_saturation_count,q_sub_saturation_count,min_input_clip_count,check_magnitude_clip_count,app_add_saturation_count,app_update_saturation_count,saturation_block_fraction,saturation_events_per_block,saturation_error_blocks,saturation_clean_blocks,saturation_error_events,saturation_clean_events,expected_core_cycles,worst_configured_core_cycles,stage,profile,config_name,layer_order,decoder_cycles_per_iteration,syndrome_tail,effective_iteration_boundary,expected_latency_cycles,saturation_rule,requested_blocks,completed_requested_blocks,w_CH,w_APP,w_q,w_M,channel_gain,ch_to_app_shift,beta_int,beta_equiv
float,float,4.2,1000,116,0.11600000,0.09760568,0.13733327,12227,0.0014473248,8.464000,0.066987,7.990930,12,0.156000,0,882,118,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,643.264,852,final_fixed_point_comparison,BG1_first4_high_rate,float,1-3-0-2,75,1,76,643.264,asymmetric,1000,True,,,,,,,,
F1,fixed,4.2,1000,81,0.08100000,0.06564962,0.09955720,5971,0.0007067945,8.295000,0.061950,7.968444,12,0.114000,0,919,81,5495,5495,0,316,9396451,9396451,783418,783418,1.000000,10185.680000,81,919,209012,9976668,630.420,852,final_fixed_point_comparison,BG1_first4_high_rate,F1,1-3-0-2,75,1,76,630.420,asymmetric,1000,True,6,8,8,6,1.32,1,1,0.378788
F2,fixed,4.2,1000,91,0.09100000,0.07470470,0.11042558,8201,0.0009707623,8.298000,0.063128,7.913907,12,0.121000,0,906,94,64840,64840,0,2749,21577051,21577051,2486571,2486571,1.000000,24131.211000,91,909,1028483,23102728,630.648,852,final_fixed_point_comparison,BG1_first4_high_rate,F2,1-3-0-2,75,1,76,630.648,asymmetric,1000,True,6,8,8,6,1.542,1,1,0.324254
D,fixed,4.2,1000,132,0.13200000,0.11242164,0.15439486,18062,0.0021380208,8.692000,0.066705,8.180139,12,0.181000,0,866,134,65096,65096,0,2441,19764889,19764889,2125017,2125017,1.000000,21957.443000,132,868,1329084,20628359,660.592,852,final_fixed_point_comparison,BG1_first4_high_rate,D,1-3-0-2,75,1,76,660.592,asymmetric,1000,True,5,8,8,6,0.759,2,1,0.329381
float,float,4.4,1000,1,0.00100000,0.00017655,0.00564256,8,0.0000009470,6.034000,0.040081,6.028028,12,0.004000,0,999,1,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,458.584,852,final_fixed_point_comparison,BG1_first4_high_rate,float,1-3-0-2,75,1,76,458.584,asymmetric,1000,True,,,,,,,,
F1,fixed,4.4,1000,1,0.00100000,0.00017655,0.00564256,50,0.0000059186,5.992000,0.037541,5.985986,12,0.003000,0,999,1,10208,10208,0,556,10875006,10875006,1088265,1088265,1.000000,11974.035000,1,999,2136,11971899,455.392,852,final_fixed_point_comparison,BG1_first4_high_rate,F1,1-3-0-2,75,1,76,455.392,asymmetric,1000,True,6,8,8,6,1.32,1,1,0.378788
F2,fixed,4.4,1000,2,0.00200000,0.00054864,0.00726281,5393,0.0006383759,5.996000,0.038307,5.983968,12,0.006000,0,998,2,99301,99301,0,5046,22922133,22922133,3425653,3425653,1.000000,26452.133000,2,998,150888,26301245,455.696,852,final_fixed_point_comparison,BG1_first4_high_rate,F2,1-3-0-2,75,1,76,455.696,asymmetric,1000,True,6,8,8,6,1.542,1,1,0.324254
D,fixed,4.4,1000,4,0.00400000,0.00155659,0.01023956,155,0.0000183475,6.138000,0.039982,6.114458,12,0.004000,0,996,4,99706,99706,0,3251,21066527,21066527,2779101,2779101,1.000000,23948.585000,4,996,64861,23883724,466.488,852,final_fixed_point_comparison,BG1_first4_high_rate,D,1-3-0-2,75,1,76,466.488,asymmetric,1000,True,5,8,8,6,0.759,2,1,0.329381
float,float,4.2,1000,134,0.13400000,0.11428108,0.15652011,11591,0.0013720407,8.907000,0.063280,8.407666,12,0.191000,0,861,139,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,632.397,852,final_fixed_point_comparison,BG1_first4_high_rate,float,3-2-1-0,70,1,71,632.397,asymmetric,1000,True,,,,,,,,
F1,fixed,4.2,1000,100,0.10000000,0.08290944,0.12015196,6440,0.0007623106,8.808000,0.058946,8.445434,12,0.141000,0,898,102,5653,5653,0,321,10327906,10327906,1101775,1101775,1.000000,11435.655000,100,900,291112,11144543,625.368,852,final_fixed_point_comparison,BG1_first4_high_rate,F1,3-2-1-0,70,1,71,625.368,asymmetric,1000,True,6,8,8,6,1.32,1,1,0.378788
F2,fixed,4.2,1000,108,0.10800000,0.09024120,0.12875898,7064,0.0008361742,8.762000,0.061083,8.349493,12,0.151000,0,887,113,64621,64621,0,2913,22054383,22054383,2810386,2810386,1.000000,24932.303000,108,892,1308957,23623346,622.102,852,final_fixed_point_comparison,BG1_first4_high_rate,F2,3-2-1-0,70,1,71,622.102,asymmetric,1000,True,6,8,8,6,1.542,1,1,0.324254
D,fixed,4.2,1000,153,0.15300000,0.13201922,0.17663655,12236,0.0014483902,9.172000,0.061776,8.633333,12,0.211000,0,840,160,64879,64879,0,2515,21007434,21007434,2789046,2789046,1.000000,23863.874000,153,847,1395739,22468135,651.212,852,final_fixed_point_comparison,BG1_first4_high_rate,D,3-2-1-0,70,1,71,651.212,asymmetric,1000,True,5,8,8,6,0.759,2,1,0.329381
float,float,4.4,1000,7,0.00700000,0.00339487,0.01437832,224,0.0000265152,6.561000,0.038907,6.522659,12,0.009000,0,993,7,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,465.831,852,final_fixed_point_comparison,BG1_first4_high_rate,float,3-2-1-0,70,1,71,465.831,asymmetric,1000,True,,,,,,,,
F1,fixed,4.4,1000,3,0.00300000,0.00102078,0.00878301,172,0.0000203598,6.546000,0.036044,6.529589,12,0.004000,0,997,3,10139,10139,0,545,12100906,12100906,1517714,1517714,1.000000,13629.304000,3,997,12687,13616617,464.766,852,final_fixed_point_comparison,BG1_first4_high_rate,F1,3-2-1-0,70,1,71,464.766,asymmetric,1000,True,6,8,8,6,1.32,1,1,0.378788
F2,fixed,4.4,1000,3,0.00300000,0.00102078,0.00878301,7899,0.0009350142,6.525000,0.037320,6.508526,12,0.005000,0,997,3,99154,99154,0,6107,24231393,24231393,4200862,4200862,1.000000,28537.516000,3,997,156877,28380639,463.275,852,final_fixed_point_comparison,BG1_first4_high_rate,F2,3-2-1-0,70,1,71,463.275,asymmetric,1000,True,6,8,8,6,1.542,1,1,0.324254
D,fixed,4.4,1000,4,0.00400000,0.00155659,0.01023956,237,0.0000280540,6.710000,0.039944,6.683417,12,0.010000,0,995,5,99530,99530,0,4955,23076202,23076202,3765277,3765277,1.000000,26945.964000,4,996,49006,26896958,476.410,852,final_fixed_point_comparison,BG1_first4_high_rate,D,3-2-1-0,70,1,71,476.410,asymmetric,1000,True,5,8,8,6,0.759,2,1,0.329381
