label,model,EbN0_dB,blocks,block_errors,BLER,BLER_CI95_low,BLER_CI95_high,bit_errors_info,BER,avg_iterations,avg_iteration_se,avg_success_iterations,max_iterations_observed,fraction_reaching_max_iterations,undetected_errors,syndrome_pass_count,convergence_failures,channel_saturation_count,channel_quantizer_clip_count,app_init_saturation_count,q_sub_saturation_count,min_input_clip_count,check_magnitude_clip_count,app_add_saturation_count,app_update_saturation_count,saturation_block_fraction,saturation_events_per_block,saturation_error_blocks,saturation_clean_blocks,saturation_error_events,saturation_clean_events,expected_core_cycles,worst_configured_core_cycles,stage,profile,config_name,layer_order,decoder_cycles_per_iteration,syndrome_tail,effective_iteration_boundary,expected_latency_cycles,saturation_rule,requested_blocks,completed_requested_blocks,w_CH,w_APP,w_q,w_M,channel_gain,ch_to_app_shift,beta_int,beta_equiv,confirmation_latency_rank,confirmation_quality_pass,aggregate_blocks,aggregate_block_errors,aggregate_BLER,aggregate_BLER_CI95_low,aggregate_BLER_CI95_high,aggregate_avg_iterations,aggregate_expected_latency_cycles,aggregate_max_iteration_fraction
F2,fixed,4.2,1000,80,0.08000000,0.06474804,0.09846644,5833,0.0006904593,8.198000,0.065215,7.862894,12,0.121000,0,919,81,64832,64832,0,2915,21425232,21425232,2410980,2410980,1.000000,23903.959000,80,920,981791,22922168,623.048,852,layer_order_stage2_confirmation,BG1_first4_high_rate,F2,1-3-0-2,75,1,76,623.048,asymmetric,1000,True,6,8,8,6,1.542,1,1,0.324254,1,True,2000,81,0.04050000,0.03270494,0.05005682,7.043000,535.268,0.061500
F2,fixed,4.4,1000,1,0.00100000,0.00017655,0.00564256,64,0.0000075758,5.888000,0.038143,5.881882,12,0.002000,0,999,1,98895,98895,0,4939,22062286,22062286,3279562,3279562,1.000000,25445.682000,1,999,25374,25420308,447.488,852,layer_order_stage2_confirmation,BG1_first4_high_rate,F2,1-3-0-2,75,1,76,447.488,asymmetric,1000,True,6,8,8,6,1.542,1,1,0.324254,1,True,2000,81,0.04050000,0.03270494,0.05005682,7.043000,535.268,0.061500
F2,fixed,4.2,1000,100,0.10000000,0.08290944,0.12015196,8112,0.0009602273,8.771000,0.060118,8.392179,12,0.155000,0,895,105,64432,64432,0,2946,22075621,22075621,2837674,2837674,1.000000,24980.673000,100,900,1111081,23869592,622.741,852,layer_order_stage2_confirmation,BG1_first4_high_rate,F2,3-2-1-0,70,1,71,622.741,asymmetric,1000,True,6,8,8,6,1.542,1,1,0.324254,2,True,2000,101,0.05050000,0.04173547,0.06098795,7.652000,543.292,0.080500
F2,fixed,4.4,1000,1,0.00100000,0.00017655,0.00564256,171,0.0000202415,6.533000,0.038683,6.527528,12,0.006000,0,999,1,98742,98742,0,5482,24021682,24021682,4147195,4147195,1.000000,28273.101000,1,999,6658,28266443,463.843,852,layer_order_stage2_confirmation,BG1_first4_high_rate,F2,3-2-1-0,70,1,71,463.843,asymmetric,1000,True,6,8,8,6,1.542,1,1,0.324254,2,True,2000,101,0.05050000,0.04173547,0.06098795,7.652000,543.292,0.080500
F2,fixed,4.2,1000,103,0.10300000,0.08565481,0.12338364,8771,0.0010382339,8.350000,0.063762,7.917226,12,0.138000,0,894,106,64731,64731,0,3220,22571334,22571334,3135845,3135845,1.000000,25775.130000,103,897,1123204,24651926,601.200,852,layer_order_stage2_confirmation,BG1_first4_high_rate,F2,1-2-3-0,71,1,72,601.200,asymmetric,1000,True,6,8,8,6,1.542,1,1,0.324254,3,False,2000,106,0.05300000,0.04401046,0.06370338,7.189500,517.644,0.072000
F2,fixed,4.4,1000,3,0.00300000,0.00102078,0.00878301,138,0.0000163352,6.029000,0.039997,5.998995,12,0.006000,0,995,5,99251,99251,0,4867,23484086,23484086,3928766,3928766,1.000000,27516.970000,3,997,64162,27452808,434.088,852,layer_order_stage2_confirmation,BG1_first4_high_rate,F2,1-2-3-0,71,1,72,434.088,asymmetric,1000,True,6,8,8,6,1.542,1,1,0.324254,3,False,2000,106,0.05300000,0.04401046,0.06370338,7.189500,517.644,0.072000
F2,fixed,4.2,1000,115,0.11500000,0.09668343,0.13626317,8056,0.0009535985,8.743000,0.060882,8.303065,12,0.153000,0,881,119,64871,64871,0,2622,21233911,21233911,2468020,2468020,1.000000,23769.424000,115,885,1294770,22474654,620.753,852,layer_order_stage2_confirmation,BG1_first4_high_rate,F2,0-2-1-3,70,1,71,620.753,asymmetric,1000,True,6,8,8,6,1.542,1,1,0.324254,4,False,2000,118,0.05900000,0.04949422,0.07019661,7.598000,539.458,0.079500
F2,fixed,4.4,1000,3,0.00300000,0.00102078,0.00878301,199,0.0000235559,6.453000,0.039030,6.430723,12,0.006000,0,996,4,99493,99493,0,4520,22624986,22624986,3419982,3419982,1.000000,26148.981000,3,997,48905,26100076,458.163,852,layer_order_stage2_confirmation,BG1_first4_high_rate,F2,0-2-1-3,70,1,71,458.163,asymmetric,1000,True,6,8,8,6,1.542,1,1,0.324254,4,False,2000,118,0.05900000,0.04949422,0.07019661,7.598000,539.458,0.079500
F2,fixed,4.2,1000,112,0.11200000,0.09391954,0.13305002,8710,0.0010310133,8.478000,0.064959,8.015837,12,0.154000,0,884,116,64718,64718,0,3374,21773078,21773078,2893469,2893469,1.000000,24734.639000,112,888,1116951,23617688,652.806,852,layer_order_stage2_confirmation,BG1_first4_high_rate,F2,0-1-2-3,76,1,77,652.806,asymmetric,1000,True,6,8,8,6,1.542,1,1,0.324254,5,False,2000,112,0.05600000,0.04674833,0.06695400,7.339000,565.103,0.077500
F2,fixed,4.4,1000,0,0.00000000,0.00000000,0.00382676,0,0.0000000000,6.200000,0.039719,6.200000,12,0.001000,0,1000,0,99424,99424,0,4938,23015299,23015299,3707583,3707583,1.000000,26827.244000,0,1000,0,26827244,477.400,852,layer_order_stage2_confirmation,BG1_first4_high_rate,F2,0-1-2-3,76,1,77,477.400,asymmetric,1000,True,6,8,8,6,1.542,1,1,0.324254,5,False,2000,112,0.05600000,0.04674833,0.06695400,7.339000,565.103,0.077500
