label,model,EbN0_dB,blocks,block_errors,BLER,BLER_CI95_low,BLER_CI95_high,bit_errors_info,BER,avg_iterations,avg_iteration_se,avg_success_iterations,max_iterations_observed,fraction_reaching_max_iterations,undetected_errors,syndrome_pass_count,convergence_failures,channel_saturation_count,channel_quantizer_clip_count,app_init_saturation_count,q_sub_saturation_count,min_input_clip_count,check_magnitude_clip_count,app_add_saturation_count,app_update_saturation_count,saturation_block_fraction,saturation_events_per_block,saturation_error_blocks,saturation_clean_blocks,saturation_error_events,saturation_clean_events,expected_core_cycles,worst_configured_core_cycles,stage,profile,config_name,layer_order,decoder_cycles_per_iteration,syndrome_tail,effective_iteration_boundary,expected_latency_cycles,saturation_rule,requested_blocks,completed_requested_blocks,w_CH,w_APP,w_q,w_M,channel_gain,ch_to_app_shift,beta_int,beta_equiv,stage1_latency_rank,stage1_quality_pass,stage1_retained_top3,aggregate_blocks,aggregate_block_errors,aggregate_BLER,aggregate_BLER_CI95_low,aggregate_BLER_CI95_high,aggregate_avg_iterations,aggregate_expected_latency_cycles,aggregate_max_iteration_fraction
F2,fixed,4.2,200,15,0.07500000,0.04597492,0.12004361,1307,0.0007735559,8.220000,0.146167,7.891304,12,0.130000,0,184,16,13116,13116,0,573,4324415,4324415,478557,478557,1.000000,24083.305000,15,185,232228,4584433,624.720,852,layer_order_stage1,BG1_first4_high_rate,F2,1-3-0-2,75,1,76,624.720,asymmetric,200,True,6,8,8,6,1.542,1,1,0.324254,1,True,True,600,15,0.02500000,0.01520784,0.04083578,5.923333,450.173,0.043333
F2,fixed,4.4,200,0,0.00000000,0.00000000,0.01884533,0,0.0000000000,5.895000,0.081567,5.895000,10,0.000000,0,200,0,19807,19807,0,1107,4455698,4455698,708140,708140,1.000000,25923.760000,0,200,0,5184752,448.020,852,layer_order_stage1,BG1_first4_high_rate,F2,1-3-0-2,75,1,76,448.020,asymmetric,200,True,6,8,8,6,1.542,1,1,0.324254,1,True,True,600,15,0.02500000,0.01520784,0.04083578,5.923333,450.173,0.043333
F2,fixed,4.9,200,0,0.00000000,0.00000000,0.01884533,0,0.0000000000,3.655000,0.039212,3.655000,5,0.000000,0,200,0,51181,51181,0,1767,4157469,4157469,925211,925211,1.000000,25678.140000,0,200,0,5135628,277.780,852,layer_order_stage1,BG1_first4_high_rate,F2,1-3-0-2,75,1,76,277.780,asymmetric,200,True,6,8,8,6,1.542,1,1,0.324254,1,True,True,600,15,0.02500000,0.01520784,0.04083578,5.923333,450.173,0.043333
F2,fixed,4.2,200,10,0.05000000,0.02738265,0.08957815,713,0.0004219934,8.590000,0.127833,8.333333,12,0.100000,0,186,14,12903,12903,0,824,4671959,4671959,654270,654270,1.000000,26699.780000,10,190,101203,5238753,609.890,852,layer_order_stage1,BG1_first4_high_rate,F2,3-2-1-0,70,1,71,609.890,asymmetric,200,True,6,8,8,6,1.542,1,1,0.324254,2,True,True,600,10,0.01666667,0.00907773,0.03040525,6.458333,458.542,0.036667
F2,fixed,4.4,200,0,0.00000000,0.00000000,0.01884533,0,0.0000000000,6.520000,0.087097,6.520000,12,0.010000,0,200,0,19700,19700,0,1202,4826883,4826883,875162,875162,1.000000,28614.735000,0,200,0,5722947,462.920,852,layer_order_stage1,BG1_first4_high_rate,F2,3-2-1-0,70,1,71,462.920,asymmetric,200,True,6,8,8,6,1.542,1,1,0.324254,2,True,True,600,10,0.01666667,0.00907773,0.03040525,6.458333,458.542,0.036667
F2,fixed,4.9,200,0,0.00000000,0.00000000,0.01884533,0,0.0000000000,4.265000,0.040398,4.265000,6,0.000000,0,200,0,52012,52012,0,2169,4420220,4420220,958572,958572,1.000000,27164.865000,0,200,0,5432973,302.815,852,layer_order_stage1,BG1_first4_high_rate,F2,3-2-1-0,70,1,71,302.815,asymmetric,200,True,6,8,8,6,1.542,1,1,0.324254,2,True,True,600,10,0.01666667,0.00907773,0.03040525,6.458333,458.542,0.036667
F2,fixed,4.2,200,18,0.09000000,0.05768745,0.13776572,1151,0.0006812263,8.130000,0.144638,7.700000,12,0.125000,0,180,20,13007,13007,0,539,4496516,4496516,605031,605031,1.000000,25575.465000,18,182,290793,4824300,585.360,852,layer_order_stage1,BG1_first4_high_rate,F2,1-2-3-0,71,1,72,585.360,asymmetric,200,True,6,8,8,6,1.542,1,1,0.324254,3,False,True,600,18,0.03000000,0.01905926,0.04692074,5.950000,428.400,0.041667
F2,fixed,4.4,200,0,0.00000000,0.00000000,0.01884533,0,0.0000000000,5.995000,0.080356,5.995000,11,0.000000,0,200,0,19789,19789,0,1015,4855433,4855433,897119,897119,1.000000,28866.780000,0,200,0,5773356,431.640,852,layer_order_stage1,BG1_first4_high_rate,F2,1-2-3-0,71,1,72,431.640,asymmetric,200,True,6,8,8,6,1.542,1,1,0.324254,3,False,True,600,18,0.03000000,0.01905926,0.04692074,5.950000,428.400,0.041667
F2,fixed,4.9,200,0,0.00000000,0.00000000,0.01884533,0,0.0000000000,3.725000,0.039429,3.725000,5,0.000000,0,200,0,51982,51982,0,2051,4480350,4480350,1135660,1135660,1.000000,28350.215000,0,200,0,5670043,268.200,852,layer_order_stage1,BG1_first4_high_rate,F2,1-2-3-0,71,1,72,268.200,asymmetric,200,True,6,8,8,6,1.542,1,1,0.324254,3,False,True,600,18,0.03000000,0.01905926,0.04692074,5.950000,428.400,0.041667
F2,fixed,4.2,200,20,0.10000000,0.06567045,0.14940581,1885,0.0011156487,8.315000,0.143288,7.882682,12,0.135000,0,179,21,12875,12875,0,459,4288403,4288403,521122,521122,1.000000,24114.295000,20,180,193859,4629000,598.680,852,layer_order_stage1,BG1_first4_high_rate,F2,1-3-2-0,71,1,72,598.680,asymmetric,200,True,6,8,8,6,1.542,1,1,0.324254,4,False,False,600,20,0.03333333,0.02168016,0.05092409,6.036667,434.640,0.045000
