stage,profile,config_name,EbN0_dB,seed_base,seed_count,layer_order,decoder_cycles_per_iteration,syndrome_S,syndrome_Q,syndrome_valid,syndrome_tail,effective_iteration_boundary,blocks,requested_blocks,completed_requested_blocks,block_errors,BLER,BLER_CI95_low,BLER_CI95_high,bit_errors_info,BER,avg_iterations,avg_iteration_se,max_iterations_observed,fraction_reaching_max_iterations,expected_latency_cycles,syndrome_pass_count,convergence_failures,undetected_errors,channel_quantizer_clip_count,app_init_saturation_count,q_sub_saturation_count,check_magnitude_clip_count,app_update_saturation_count,saturation_block_fraction,w_CH,w_APP,w_q,w_M,channel_gain,ch_to_app_shift,beta_int,beta_equiv,saturation_rule,confirmation_rank,confirmation_quality_pass,selection_quality_pass,meaningful_error_degradation,selected_final_order,aggregate_blocks,aggregate_block_errors,aggregate_BLER,aggregate_expected_latency_cycles
layer_order_confirmation,BG1_first4_high_rate,F1,4.2,82260819,2000,1-3-2-0,71,8,8,True,1,72,2000,2000,True,168,0.08400000,0.07262616,0.09696882,11670,0.0006906960,8.298000,0.044470,12,0.119500,597.456,1823,177,0,11083,0,526,19411306,1667683,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,1,True,True,False,True,4000,169,0.04225000,513.882
layer_order_confirmation,BG1_first4_high_rate,F1,4.4,84260819,2000,1-3-2-0,71,8,8,True,1,72,2000,2000,True,1,0.00050000,0.00008827,0.00282686,7,0.0000004143,5.976500,0.026454,12,0.002000,430.308,1999,1,0,20399,0,794,21955383,2155441,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,1,True,True,False,True,4000,169,0.04225000,513.882
layer_order_confirmation,BG1_first4_high_rate,F1,4.2,82260819,2000,1-2-3-0,71,8,8,True,1,72,2000,2000,True,168,0.08400000,0.07262616,0.09696882,10972,0.0006493845,8.330000,0.043755,12,0.119500,599.760,1824,176,0,11083,0,766,21113875,2352468,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,2,True,True,False,False,4000,169,0.04225000,516.456
layer_order_confirmation,BG1_first4_high_rate,F1,4.4,84260819,2000,1-2-3-0,71,8,8,True,1,72,2000,2000,True,1,0.00050000,0.00008827,0.00282686,38,0.0000022491,6.016000,0.026547,12,0.002000,433.152,1999,1,0,20399,0,1105,23675479,2934618,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,2,True,True,False,False,4000,169,0.04225000,516.456
layer_order_confirmation,BG1_first4_high_rate,F1,4.2,82260819,2000,1-2-0-3,72,8,8,True,1,73,2000,2000,True,175,0.08750000,0.07589362,0.10068794,11242,0.0006653646,8.345500,0.043652,12,0.121500,609.221,1823,177,0,11083,0,810,21079233,2275888,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,3,True,True,False,False,4000,178,0.04450000,524.651
layer_order_confirmation,BG1_first4_high_rate,F1,4.4,84260819,2000,1-2-0-3,72,8,8,True,1,73,2000,2000,True,3,0.00150000,0.00051026,0.00440103,45,0.0000026634,6.028500,0.027262,12,0.004000,440.081,1997,3,0,20399,0,949,23919417,3095809,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,3,True,True,False,False,4000,178,0.04450000,524.651
layer_order_confirmation,BG1_first4_high_rate,F1,4.2,82260819,2000,1-0-3-2,73,8,8,True,1,74,2000,2000,True,160,0.08000000,0.06889957,0.09271075,11390,0.0006741241,8.315000,0.044191,12,0.117500,615.310,1830,170,0,11083,0,577,19945933,1813160,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,4,True,True,False,False,4000,162,0.04050000,530.284
layer_order_confirmation,BG1_first4_high_rate,F1,4.4,84260819,2000,1-0-3-2,73,8,8,True,1,74,2000,2000,True,2,0.00100000,0.00027428,0.00363893,47,0.0000027817,6.017000,0.026762,12,0.001500,445.258,1998,2,0,20399,0,1178,23539961,2849730,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,4,True,True,False,False,4000,162,0.04050000,530.284
layer_order_confirmation,BG1_first4_high_rate,F1,4.2,82260819,2000,0-2-1-3,70,8,8,True,1,71,2000,2000,True,192,0.09600000,0.08385284,0.10969613,12794,0.0007572206,8.768500,0.042064,12,0.141500,622.563,1804,196,0,11083,0,683,19672769,1785193,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,5,True,True,False,False,4000,195,0.04875000,541.269
layer_order_confirmation,BG1_first4_high_rate,F1,4.4,84260819,2000,0-2-1-3,70,8,8,True,1,71,2000,2000,True,3,0.00150000,0.00051026,0.00440103,154,0.0000091146,6.478500,0.026203,12,0.003000,459.974,1997,3,0,20399,0,1277,22190774,2413153,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,5,True,True,False,False,4000,195,0.04875000,541.269
