stage,profile,config_name,EbN0_dB,seed_base,seed_count,layer_order,decoder_cycles_per_iteration,syndrome_S,syndrome_Q,syndrome_valid,syndrome_tail,effective_iteration_boundary,blocks,requested_blocks,completed_requested_blocks,block_errors,BLER,BLER_CI95_low,BLER_CI95_high,bit_errors_info,BER,avg_iterations,avg_iteration_se,max_iterations_observed,fraction_reaching_max_iterations,expected_latency_cycles,syndrome_pass_count,convergence_failures,undetected_errors,channel_quantizer_clip_count,app_init_saturation_count,q_sub_saturation_count,check_magnitude_clip_count,app_update_saturation_count,saturation_block_fraction,w_CH,w_APP,w_q,w_M,channel_gain,ch_to_app_shift,beta_int,beta_equiv,saturation_rule,screen_rank,screen_quality_pass,screen_retained_top5,aggregate_blocks,aggregate_block_errors,aggregate_BLER,aggregate_expected_latency_cycles
layer_order_screen,BG1_first4_high_rate,F1,4.2,72260819,500,1-3-2-0,71,8,8,True,1,72,500,500,True,38,0.07600000,0.05586903,0.10259641,2880,0.0006818182,8.336000,0.085959,12,0.110000,600.192,461,39,0,2782,0,130,4825634,373993,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,1,True,True,1500,38,0.02533333,434.880
layer_order_screen,BG1_first4_high_rate,F1,4.4,74260819,500,1-3-2-0,71,8,8,True,1,72,500,500,True,0,0.00000000,0.00000000,0.00762434,0,0.0000000000,6.048000,0.054858,11,0.000000,435.456,500,0,0,5013,0,284,5766102,682765,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,1,True,True,1500,38,0.02533333,434.880
layer_order_screen,BG1_first4_high_rate,F1,4.9,79260819,500,1-3-2-0,71,8,8,True,1,72,500,500,True,0,0.00000000,0.00000000,0.00762434,0,0.0000000000,3.736000,0.025415,7,0.000000,268.992,500,0,0,19688,0,509,6177194,916449,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,1,True,True,1500,38,0.02533333,434.880
layer_order_screen,BG1_first4_high_rate,F1,4.2,72260819,500,1-2-3-0,71,8,8,True,1,72,500,500,True,40,0.08000000,0.05929813,0.10710632,2684,0.0006354167,8.398000,0.084555,12,0.110000,604.656,457,43,0,2782,0,195,5378789,600139,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,2,True,True,1500,40,0.02666667,439.152
layer_order_screen,BG1_first4_high_rate,F1,4.4,74260819,500,1-2-3-0,71,8,8,True,1,72,500,500,True,0,0.00000000,0.00000000,0.00762434,0,0.0000000000,6.092000,0.054008,11,0.000000,438.624,500,0,0,5013,0,262,5924053,715003,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,2,True,True,1500,40,0.02666667,439.152
layer_order_screen,BG1_first4_high_rate,F1,4.9,79260819,500,1-2-3-0,71,8,8,True,1,72,500,500,True,0,0.00000000,0.00000000,0.00762434,0,0.0000000000,3.808000,0.025760,6,0.000000,274.176,500,0,0,19688,0,938,6962841,1351205,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,2,True,True,1500,40,0.02666667,439.152
layer_order_screen,BG1_first4_high_rate,F1,4.2,72260819,500,1-2-0-3,72,8,8,True,1,73,500,500,True,46,0.09200000,0.06968272,0.12053874,3010,0.0007125947,8.408000,0.086313,12,0.120000,613.784,451,49,0,2782,0,142,5404776,603629,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,3,True,True,1500,46,0.03066667,445.689
layer_order_screen,BG1_first4_high_rate,F1,4.4,74260819,500,1-2-0-3,72,8,8,True,1,73,500,500,True,0,0.00000000,0.00000000,0.00762434,0,0.0000000000,6.092000,0.054525,12,0.002000,444.716,500,0,0,5013,0,357,5985969,849371,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,3,True,True,1500,46,0.03066667,445.689
layer_order_screen,BG1_first4_high_rate,F1,4.9,79260819,500,1-2-0-3,72,8,8,True,1,73,500,500,True,0,0.00000000,0.00000000,0.00762434,0,0.0000000000,3.816000,0.024931,6,0.000000,278.568,500,0,0,19688,0,711,6970180,1360168,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,3,True,True,1500,46,0.03066667,445.689
layer_order_screen,BG1_first4_high_rate,F1,4.2,72260819,500,1-0-3-2,73,8,8,True,1,74,500,500,True,41,0.08200000,0.06101909,0.10935486,2883,0.0006825284,8.368000,0.086070,12,0.110000,619.232,457,43,0,2782,0,153,5141926,505636,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,4,True,True,1500,41,0.02733333,449.525
layer_order_screen,BG1_first4_high_rate,F1,4.4,74260819,500,1-0-3-2,73,8,8,True,1,74,500,500,True,0,0.00000000,0.00000000,0.00762434,0,0.0000000000,6.084000,0.054990,11,0.000000,450.216,500,0,0,5013,0,232,5913305,712383,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,4,True,True,1500,41,0.02733333,449.525
layer_order_screen,BG1_first4_high_rate,F1,4.9,79260819,500,1-0-3-2,73,8,8,True,1,74,500,500,True,0,0.00000000,0.00000000,0.00762434,0,0.0000000000,3.772000,0.025482,6,0.000000,279.128,500,0,0,19688,0,793,6593636,1177978,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,4,True,True,1500,41,0.02733333,449.525
layer_order_screen,BG1_first4_high_rate,F1,4.2,72260819,500,1-3-0-2,75,8,8,True,1,76,500,500,True,37,0.07400000,0.05416118,0.10033475,2830,0.0006699811,8.312000,0.085111,12,0.100000,631.712,462,38,0,2782,0,149,4796910,372571,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,5,True,True,1500,37,0.02466667,460.205
