stage,EbN0_dB,left_order,right_order,blocks,left_block_errors,right_block_errors,left_BLER,right_BLER,left_error_right_clean,left_clean_right_error,delta_BLER_right_minus_left,mcnemar_exact_p,mean_iteration_delta_right_minus_left,se_iteration_delta,mean_latency_delta_right_minus_left,se_latency_delta
confirmation,4.2,1-3-2-0,1-2-3-0,2000,168,168,0.08400000,0.08400000,30,30,0.00000000,1.00000000,0.032000,0.016283,2.304,1.172
confirmation,4.2,1-3-2-0,1-2-0-3,2000,168,175,0.08400000,0.08750000,28,35,0.00350000,0.44996254,0.047500,0.016801,11.765,1.217
confirmation,4.2,1-3-2-0,1-0-3-2,2000,168,160,0.08400000,0.08000000,33,25,-0.00400000,0.35814330,0.017000,0.016897,17.854,1.235
confirmation,4.2,1-3-2-0,1-3-0-2,2000,168,163,0.08400000,0.08150000,35,30,-0.00250000,0.62014477,-0.001000,0.016512,33.116,1.231
confirmation,4.2,1-3-2-0,0-2-1-3,2000,168,192,0.08400000,0.09600000,22,46,0.01200000,0.00490338,0.470500,0.016977,25.108,1.221
confirmation,4.2,1-3-2-0,3-2-1-0,2000,168,192,0.08400000,0.09600000,20,44,0.01200000,0.00368996,0.487500,0.016899,26.314,1.216
confirmation,4.2,1-3-2-0,0-1-2-3,2000,168,179,0.08400000,0.08950000,26,37,0.00550000,0.20736790,0.249500,0.016576,60.702,1.230
confirmation,4.2,1-2-3-0,1-2-0-3,2000,168,175,0.08400000,0.08750000,27,34,0.00350000,0.44262600,0.015500,0.015961,9.461,1.158
confirmation,4.2,1-2-3-0,1-0-3-2,2000,168,160,0.08400000,0.08000000,34,26,-0.00400000,0.36629401,-0.015000,0.018043,15.550,1.322
confirmation,4.2,1-2-3-0,1-3-0-2,2000,168,163,0.08400000,0.08150000,30,25,-0.00250000,0.59005333,-0.033000,0.017032,30.812,1.277
confirmation,4.2,1-2-3-0,0-2-1-3,2000,168,192,0.08400000,0.09600000,18,42,0.01200000,0.00267044,0.438500,0.017037,22.803,1.223
confirmation,4.2,1-2-3-0,3-2-1-0,2000,168,192,0.08400000,0.09600000,19,43,0.01200000,0.00315606,0.455500,0.018253,24.011,1.310
confirmation,4.2,1-2-3-0,0-1-2-3,2000,168,179,0.08400000,0.08950000,1,12,0.00550000,0.00341797,0.217500,0.009651,58.398,0.726
confirmation,4.2,1-2-0-3,1-0-3-2,2000,175,160,0.08750000,0.08000000,35,20,-0.00750000,0.05806415,-0.030500,0.017217,6.088,1.268
confirmation,4.2,1-2-0-3,1-3-0-2,2000,175,163,0.08750000,0.08150000,39,27,-0.00600000,0.17528579,-0.048500,0.017456,21.351,1.311
confirmation,4.2,1-2-0-3,0-2-1-3,2000,175,192,0.08750000,0.09600000,26,43,0.00850000,0.05328936,0.423000,0.017484,13.342,1.269
confirmation,4.2,1-2-0-3,3-2-1-0,2000,175,192,0.08750000,0.09600000,20,37,0.00850000,0.03314397,0.440000,0.017273,14.549,1.255
confirmation,4.2,1-2-0-3,0-1-2-3,2000,175,179,0.08750000,0.08950000,31,35,0.00200000,0.71223088,0.202000,0.016317,48.936,1.225
confirmation,4.2,1-0-3-2,1-3-0-2,2000,160,163,0.08000000,0.08150000,26,29,0.00150000,0.78770619,-0.018000,0.016324,15.262,1.227
confirmation,4.2,1-0-3-2,0-2-1-3,2000,160,192,0.08000000,0.09600000,17,49,0.01600000,0.00010148,0.453500,0.016388,7.253,1.211
confirmation,4.2,1-0-3-2,3-2-1-0,2000,160,192,0.08000000,0.09600000,0,32,0.01600000,0.00000000,0.470500,0.011275,8.460,0.854
confirmation,4.2,1-0-3-2,0-1-2-3,2000,160,179,0.08000000,0.08950000,22,41,0.00950000,0.02257497,0.232500,0.017843,42.847,1.342
confirmation,4.2,1-3-0-2,0-2-1-3,2000,163,192,0.08150000,0.09600000,1,30,0.01450000,0.00000003,0.471500,0.011387,-8.008,0.902
confirmation,4.2,1-3-0-2,3-2-1-0,2000,163,192,0.08150000,0.09600000,17,46,0.01450000,0.00033671,0.488500,0.016615,-6.801,1.269
confirmation,4.2,1-3-0-2,0-1-2-3,2000,163,179,0.08150000,0.08950000,19,35,0.00800000,0.04022356,0.250500,0.017103,27.585,1.305
confirmation,4.2,0-2-1-3,3-2-1-0,2000,192,192,0.09600000,0.09600000,32,32,0.00000000,1.00000000,0.017000,0.016201,1.207,1.150
confirmation,4.2,0-2-1-3,0-1-2-3,2000,192,179,0.09600000,0.08950000,35,22,-0.00650000,0.11116112,-0.221000,0.016785,35.594,1.276
confirmation,4.2,3-2-1-0,0-1-2-3,2000,192,179,0.09600000,0.08950000,37,24,-0.00650000,0.12373144,-0.238000,0.018134,34.387,1.376
confirmation,4.4,1-3-2-0,1-2-3-0,2000,1,1,0.00050000,0.00050000,0,0,0.00000000,1.00000000,0.039500,0.013949,2.844,1.004
confirmation,4.4,1-3-2-0,1-2-0-3,2000,1,3,0.00050000,0.00150000,0,2,0.00100000,0.50000000,0.052000,0.014062,9.773,1.021
confirmation,4.4,1-3-2-0,1-0-3-2,2000,1,2,0.00050000,0.00100000,0,1,0.00050000,1.00000000,0.040500,0.014284,14.950,1.045
confirmation,4.4,1-3-2-0,1-3-0-2,2000,1,2,0.00050000,0.00100000,0,1,0.00050000,1.00000000,-0.028000,0.013936,21.778,1.035
confirmation,4.4,1-3-2-0,0-2-1-3,2000,1,3,0.00050000,0.00150000,0,2,0.00100000,0.50000000,0.502000,0.013769,29.666,0.985
confirmation,4.4,1-3-2-0,3-2-1-0,2000,1,3,0.00050000,0.00150000,0,2,0.00100000,0.50000000,0.546500,0.014475,32.825,1.035
confirmation,4.4,1-3-2-0,0-1-2-3,2000,1,1,0.00050000,0.00050000,0,0,0.00000000,1.00000000,0.280500,0.013875,51.481,1.042
confirmation,4.4,1-2-3-0,1-2-0-3,2000,1,3,0.00050000,0.00150000,0,2,0.00100000,0.50000000,0.012500,0.014169,6.928,1.029
confirmation,4.4,1-2-3-0,1-0-3-2,2000,1,2,0.00050000,0.00100000,0,1,0.00050000,1.00000000,0.001000,0.014920,12.106,1.091
confirmation,4.4,1-2-3-0,1-3-0-2,2000,1,2,0.00050000,0.00100000,0,1,0.00050000,1.00000000,-0.067500,0.014233,18.934,1.056
confirmation,4.4,1-2-3-0,0-2-1-3,2000,1,3,0.00050000,0.00150000,0,2,0.00100000,0.50000000,0.462500,0.013889,26.822,0.994
confirmation,4.4,1-2-3-0,3-2-1-0,2000,1,3,0.00050000,0.00150000,0,2,0.00100000,0.50000000,0.507000,0.014970,29.981,1.071
confirmation,4.4,1-2-3-0,0-1-2-3,2000,1,1,0.00050000,0.00050000,0,0,0.00000000,1.00000000,0.241000,0.009721,48.637,0.735
