label,model,EbN0_dB,blocks,block_errors,BLER,bit_errors_info,BER,avg_iterations,avg_success_iterations,max_iterations_observed,fraction_reaching_max_iterations,undetected_errors,syndrome_pass_count,convergence_failures,channel_saturation_count,q_sub_saturation_count,min_input_clip_count,app_add_saturation_count,saturation_block_fraction,saturation_events_per_block,expected_core_cycles,worst_configured_core_cycles,profile,candidate,w_CH,w_APP,w_q,w_M,channel_gain,beta,layer_order,iteration_boundary_cycles
float_beta_0.0,float,4.9,20,0,0.00000000,0,0.0000000000,4.400000,4.400000,6,0.000000,0,20,0,0,0,0,0,0.000000,0.000000,312.400,852,BG1_first4_high_rate,float,,,,,,0.0,0-2-1-3,71
float_beta_0.25,float,4.9,20,0,0.00000000,0,0.0000000000,4.200000,4.200000,5,0.000000,0,20,0,0,0,0,0,0.000000,0.000000,298.200,852,BG1_first4_high_rate,float,,,,,,0.25,0-2-1-3,71
float_beta_0.5,float,4.9,20,0,0.00000000,0,0.0000000000,4.250000,4.250000,5,0.000000,0,20,0,0,0,0,0,0.000000,0.000000,301.750,852,BG1_first4_high_rate,float,,,,,,0.5,0-2-1-3,71
float_beta_0.75,float,4.9,20,0,0.00000000,0,0.0000000000,4.850000,4.850000,6,0.000000,0,20,0,0,0,0,0,0.000000,0.000000,344.350,852,BG1_first4_high_rate,float,,,,,,0.75,0-2-1-3,71
float_beta_1.0,float,4.9,20,0,0.00000000,0,0.0000000000,5.800000,5.800000,7,0.000000,0,20,0,0,0,0,0,0.000000,0.000000,411.800,852,BG1_first4_high_rate,float,,,,,,1.0,0-2-1-3,71
A_g0.5_b0,fixed,4.9,20,0,0.00000000,0,0.0000000000,4.750000,4.750000,8,0.000000,0,20,0,40871,0,0,14952,1.000000,2791.150000,337.250,852,BG1_first4_high_rate,A,4,6,6,5,0.5,0,0-2-1-3,71
A_g0.5_b1,fixed,4.9,20,20,1.00000000,902,0.0053385417,12.000000,0.000000,12,1.000000,0,0,20,40871,0,0,0,1.000000,2043.550000,852.000,852,BG1_first4_high_rate,A,4,6,6,5,0.5,1,0-2-1-3,71
A_g0.5_b2,fixed,4.9,20,20,1.00000000,764,0.0045217803,12.000000,0.000000,12,1.000000,0,0,20,40871,0,0,0,1.000000,2043.550000,852.000,852,BG1_first4_high_rate,A,4,6,6,5,0.5,2,0-2-1-3,71
A_g0.5_b3,fixed,4.9,20,20,1.00000000,759,0.0044921875,12.000000,0.000000,12,1.000000,0,0,20,40871,0,0,0,1.000000,2043.550000,852.000,852,BG1_first4_high_rate,A,4,6,6,5,0.5,3,0-2-1-3,71
A_g0.75_b0,fixed,4.9,20,0,0.00000000,0,0.0000000000,4.600000,4.600000,7,0.000000,0,20,0,112858,46,0,80433,1.000000,9666.850000,326.600,852,BG1_first4_high_rate,A,4,6,6,5,0.75,0,0-2-1-3,71
A_g0.75_b1,fixed,4.9,20,11,0.55000000,362,0.0021425189,11.350000,10.555556,12,0.650000,0,9,11,112858,0,0,18197,1.000000,6552.750000,805.850,852,BG1_first4_high_rate,A,4,6,6,5,0.75,1,0-2-1-3,71
A_g0.75_b2,fixed,4.9,20,20,1.00000000,988,0.0058475379,12.000000,0.000000,12,1.000000,0,0,20,112858,0,0,0,1.000000,5642.900000,852.000,852,BG1_first4_high_rate,A,4,6,6,5,0.75,2,0-2-1-3,71
A_g0.75_b3,fixed,4.9,20,20,1.00000000,914,0.0054095644,12.000000,0.000000,12,1.000000,0,0,20,112858,0,0,0,1.000000,5642.900000,852.000,852,BG1_first4_high_rate,A,4,6,6,5,0.75,3,0-2-1-3,71
A_g1.0_b0,fixed,4.9,20,0,0.00000000,0,0.0000000000,4.650000,4.650000,7,0.000000,0,20,0,145958,49,0,82633,1.000000,11432.000000,330.150,852,BG1_first4_high_rate,A,4,6,6,5,1.0,0,0-2-1-3,71
A_g1.0_b1,fixed,4.9,20,0,0.00000000,0,0.0000000000,5.900000,5.900000,7,0.000000,0,20,0,145958,0,0,17776,1.000000,8186.700000,418.900,852,BG1_first4_high_rate,A,4,6,6,5,1.0,1,0-2-1-3,71
A_g1.0_b2,fixed,4.9,20,20,1.00000000,1253,0.0074159564,12.000000,0.000000,12,1.000000,0,0,20,145958,0,0,0,1.000000,7297.900000,852.000,852,BG1_first4_high_rate,A,4,6,6,5,1.0,2,0-2-1-3,71
A_g1.0_b3,fixed,4.9,20,20,1.00000000,1068,0.0063210227,12.000000,0.000000,12,1.000000,0,0,20,145958,0,0,0,1.000000,7297.900000,852.000,852,BG1_first4_high_rate,A,4,6,6,5,1.0,3,0-2-1-3,71
A_g1.25_b0,fixed,4.9,20,0,0.00000000,0,0.0000000000,5.100000,5.100000,9,0.000000,0,20,0,160549,289,0,159801,1.000000,16031.950000,362.100,852,BG1_first4_high_rate,A,4,6,6,5,1.25,0,0-2-1-3,71
A_g1.25_b1,fixed,4.9,20,0,0.00000000,0,0.0000000000,5.050000,5.050000,8,0.000000,0,20,0,160549,4,0,29928,1.000000,9524.050000,358.550,852,BG1_first4_high_rate,A,4,6,6,5,1.25,1,0-2-1-3,71
A_g1.25_b2,fixed,4.9,20,20,1.00000000,1418,0.0083925189,12.000000,0.000000,12,1.000000,0,0,20,160549,0,0,0,1.000000,8027.450000,852.000,852,BG1_first4_high_rate,A,4,6,6,5,1.25,2,0-2-1-3,71
A_g1.25_b3,fixed,4.9,20,20,1.00000000,1234,0.0073035038,12.000000,0.000000,12,1.000000,0,0,20,160549,0,0,0,1.000000,8027.450000,852.000,852,BG1_first4_high_rate,A,4,6,6,5,1.25,3,0-2-1-3,71
B_g0.5_b0,fixed,4.9,20,0,0.00000000,0,0.0000000000,4.750000,4.750000,8,0.000000,0,20,0,40871,0,28,0,1.000000,2044.950000,337.250,852,BG1_first4_high_rate,B,4,7,7,5,0.5,0,0-2-1-3,71
