label,model,EbN0_dB,blocks,block_errors,BLER,bit_errors_info,BER,avg_iterations,avg_success_iterations,max_iterations_observed,fraction_reaching_max_iterations,undetected_errors,syndrome_pass_count,convergence_failures,channel_saturation_count,q_sub_saturation_count,min_input_clip_count,app_add_saturation_count,saturation_block_fraction,saturation_events_per_block,expected_core_cycles,worst_configured_core_cycles,profile,candidate,w_CH,w_APP,w_q,w_M,channel_gain,beta,layer_order,iteration_boundary_cycles
float_beta_0.25,float,4.0,40,24,0.60000000,3537,0.0104669744,11.200000,10.000000,12,0.650000,0,16,24,0,0,0,0,0.000000,0.000000,795.200,852,BG1_first4_high_rate,float,,,,,,0.25,0-2-1-3,71
A_g0.75_b0,fixed,4.0,40,40,1.00000000,10420,0.0308357008,12.000000,0.000000,12,1.000000,0,0,40,157574,0,0,0,1.000000,3939.350000,852.000,852,BG1_first4_high_rate,A,4,6,6,5,0.75,0,0-2-1-3,71
B_g0.75_b0,fixed,4.0,40,40,1.00000000,10420,0.0308357008,12.000000,0.000000,12,1.000000,0,0,40,157574,0,0,0,1.000000,3939.350000,852.000,852,BG1_first4_high_rate,B,4,7,7,5,0.75,0,0-2-1-3,71
C_g1.25_b0,fixed,4.0,40,40,1.00000000,10629,0.0314541903,12.000000,0.000000,12,1.000000,0,0,40,84287,0,0,0,1.000000,2107.175000,852.000,852,BG1_first4_high_rate,C,5,7,7,6,1.25,0,0-2-1-3,71
D_g1.25_b0,fixed,4.0,40,40,1.00000000,10629,0.0314541903,12.000000,0.000000,12,1.000000,0,0,40,84287,0,0,0,1.000000,2107.175000,852.000,852,BG1_first4_high_rate,D,5,8,8,6,1.25,0,0-2-1-3,71
E_g1.25_b0,fixed,4.0,40,40,1.00000000,10629,0.0314541903,12.000000,0.000000,12,1.000000,0,0,40,84287,0,0,0,1.000000,2107.175000,852.000,852,BG1_first4_high_rate,E,5,8,9,6,1.25,0,0-2-1-3,71
F_g1.25_b0,fixed,4.0,40,40,1.00000000,10610,0.0313979640,12.000000,0.000000,12,1.000000,0,0,40,30,0,0,0,0.525000,0.750000,852.000,852,BG1_first4_high_rate,F,6,8,8,6,1.25,0,0-2-1-3,71
G_g1.25_b0,fixed,4.0,40,40,1.00000000,10610,0.0313979640,12.000000,0.000000,12,1.000000,0,0,40,30,0,0,0,0.525000,0.750000,852.000,852,BG1_first4_high_rate,G,6,9,9,7,1.25,0,0-2-1-3,71
float_beta_0.25,float,4.5,40,0,0.00000000,0,0.0000000000,5.800000,5.800000,8,0.000000,0,40,0,0,0,0,0,0.000000,0.000000,411.800,852,BG1_first4_high_rate,float,,,,,,0.25,0-2-1-3,71
A_g0.75_b0,fixed,4.5,40,3,0.07500000,386,0.0011422822,8.000000,7.675676,12,0.125000,0,37,3,195521,149,0,113082,1.000000,7718.800000,568.000,852,BG1_first4_high_rate,A,4,6,6,5,0.75,0,0-2-1-3,71
B_g0.75_b0,fixed,4.5,40,3,0.07500000,386,0.0011422822,8.000000,7.675676,12,0.125000,0,37,3,195521,0,9654,60,1.000000,5130.875000,568.000,852,BG1_first4_high_rate,B,4,7,7,5,0.75,0,0-2-1-3,71
C_g1.25_b0,fixed,4.5,40,1,0.02500000,61,0.0001805161,7.600000,7.487179,12,0.050000,0,39,1,119820,20,0,82515,1.000000,5058.875000,539.600,852,BG1_first4_high_rate,C,5,7,7,6,1.25,0,0-2-1-3,71
D_g1.25_b0,fixed,4.5,40,1,0.02500000,61,0.0001805161,7.600000,7.487179,12,0.050000,0,39,1,119820,0,1715,0,1.000000,3038.375000,539.600,852,BG1_first4_high_rate,D,5,8,8,6,1.25,0,0-2-1-3,71
E_g1.25_b0,fixed,4.5,40,1,0.02500000,61,0.0001805161,7.600000,7.487179,12,0.050000,0,39,1,119820,0,1715,0,1.000000,3038.375000,539.600,852,BG1_first4_high_rate,E,5,8,9,6,1.25,0,0-2-1-3,71
F_g1.25_b0,fixed,4.5,40,1,0.02500000,47,0.0001390862,7.625000,7.512821,12,0.075000,0,39,1,194,0,9787,39,1.000000,250.500000,541.375,852,BG1_first4_high_rate,F,6,8,8,6,1.25,0,0-2-1-3,71
G_g1.25_b0,fixed,4.5,40,1,0.02500000,47,0.0001390862,7.625000,7.512821,12,0.075000,0,39,1,194,0,0,0,1.000000,4.850000,541.375,852,BG1_first4_high_rate,G,6,9,9,7,1.25,0,0-2-1-3,71
float_beta_0.25,float,4.9,40,0,0.00000000,0,0.0000000000,4.200000,4.200000,6,0.000000,0,40,0,0,0,0,0,0.000000,0.000000,298.200,852,BG1_first4_high_rate,float,,,,,,0.25,0-2-1-3,71
A_g0.75_b0,fixed,4.9,40,0,0.00000000,0,0.0000000000,4.600000,4.600000,7,0.000000,0,40,0,225153,118,0,175495,1.000000,10019.150000,326.600,852,BG1_first4_high_rate,A,4,6,6,5,0.75,0,0-2-1-3,71
B_g0.75_b0,fixed,4.9,40,0,0.00000000,0,0.0000000000,4.600000,4.600000,7,0.000000,0,40,0,225153,0,8770,1,1.000000,5848.100000,326.600,852,BG1_first4_high_rate,B,4,7,7,5,0.75,0,0-2-1-3,71
