label,model,EbN0_dB,blocks,block_errors,BLER,bit_errors_info,BER,avg_iterations,avg_success_iterations,max_iterations_observed,fraction_reaching_max_iterations,undetected_errors,syndrome_pass_count,convergence_failures,channel_saturation_count,q_sub_saturation_count,min_input_clip_count,app_add_saturation_count,saturation_block_fraction,saturation_events_per_block,expected_core_cycles,worst_configured_core_cycles,profile,candidate,w_CH,w_APP,w_q,w_M,channel_gain,beta,layer_order,iteration_boundary_cycles
float_natural,float,4.5,20,0,0.00000000,0,0.0000000000,5.200000,5.200000,7,0.000000,0,20,0,0,0,0,0,0.000000,0.000000,369.200,852,BG1_first4_high_rate,float,,,,,,0.25,0-1-2-3,71
D_natural,fixed,4.5,20,1,0.05000000,3,0.0000177557,6.600000,6.315789,12,0.050000,0,19,1,60068,0,1279,1,1.000000,3067.400000,468.600,852,BG1_first4_high_rate,D,5,8,8,6,1.25,0,0-1-2-3,71
C_natural,fixed,4.5,20,1,0.05000000,3,0.0000177557,6.600000,6.315789,12,0.050000,0,19,1,60068,19,0,30622,1.000000,4535.450000,468.600,852,BG1_first4_high_rate,C,5,7,7,6,1.25,0,0-1-2-3,71
float_hardware,float,4.5,20,0,0.00000000,0,0.0000000000,5.350000,5.350000,7,0.000000,0,20,0,0,0,0,0,0.000000,0.000000,379.850,852,BG1_first4_high_rate,float,,,,,,0.25,0-2-1-3,71
D_hardware,fixed,4.5,20,0,0.00000000,0,0.0000000000,6.650000,6.650000,11,0.000000,0,20,0,60068,0,710,0,1.000000,3038.900000,472.150,852,BG1_first4_high_rate,D,5,8,8,6,1.25,0,0-2-1-3,71
C_hardware,fixed,4.5,20,0,0.00000000,0,0.0000000000,6.650000,6.650000,11,0.000000,0,20,0,60068,8,0,37813,1.000000,4894.450000,472.150,852,BG1_first4_high_rate,C,5,7,7,6,1.25,0,0-2-1-3,71
float_natural,float,4.9,20,0,0.00000000,0,0.0000000000,4.050000,4.050000,5,0.000000,0,20,0,0,0,0,0,0.000000,0.000000,287.550,852,BG1_first4_high_rate,float,,,,,,0.25,0-1-2-3,71
D_natural,fixed,4.9,20,0,0.00000000,0,0.0000000000,4.200000,4.200000,6,0.000000,0,20,0,75810,0,2682,1,1.000000,3924.650000,298.200,852,BG1_first4_high_rate,D,5,8,8,6,1.25,0,0-1-2-3,71
C_natural,fixed,4.9,20,0,0.00000000,0,0.0000000000,4.200000,4.200000,6,0.000000,0,20,0,75810,30,0,69710,1.000000,7277.500000,298.200,852,BG1_first4_high_rate,C,5,7,7,6,1.25,0,0-1-2-3,71
float_hardware,float,4.9,20,0,0.00000000,0,0.0000000000,4.250000,4.250000,5,0.000000,0,20,0,0,0,0,0,0.000000,0.000000,301.750,852,BG1_first4_high_rate,float,,,,,,0.25,0-2-1-3,71
D_hardware,fixed,4.9,20,0,0.00000000,0,0.0000000000,4.400000,4.400000,6,0.000000,0,20,0,75810,0,1438,0,1.000000,3862.400000,312.400,852,BG1_first4_high_rate,D,5,8,8,6,1.25,0,0-2-1-3,71
C_hardware,fixed,4.9,20,0,0.00000000,0,0.0000000000,4.400000,4.400000,6,0.000000,0,20,0,75810,22,0,56154,1.000000,6599.300000,312.400,852,BG1_first4_high_rate,C,5,7,7,6,1.25,0,0-2-1-3,71
float_natural,float,5.3,20,0,0.00000000,0,0.0000000000,3.300000,3.300000,4,0.000000,0,20,0,0,0,0,0,0.000000,0.000000,234.300,852,BG1_first4_high_rate,float,,,,,,0.25,0-1-2-3,71
D_natural,fixed,5.3,20,0,0.00000000,0,0.0000000000,3.400000,3.400000,4,0.000000,0,20,0,92477,0,1713,0,1.000000,4709.500000,241.400,852,BG1_first4_high_rate,D,5,8,8,6,1.25,0,0-1-2-3,71
C_natural,fixed,5.3,20,0,0.00000000,0,0.0000000000,3.400000,3.400000,4,0.000000,0,20,0,92477,29,0,86091,1.000000,8929.850000,241.400,852,BG1_first4_high_rate,C,5,7,7,6,1.25,0,0-1-2-3,71
float_hardware,float,5.3,20,0,0.00000000,0,0.0000000000,3.450000,3.450000,4,0.000000,0,20,0,0,0,0,0,0.000000,0.000000,244.950,852,BG1_first4_high_rate,float,,,,,,0.25,0-2-1-3,71
D_hardware,fixed,5.3,20,0,0.00000000,0,0.0000000000,3.600000,3.600000,4,0.000000,0,20,0,92477,0,148,0,1.000000,4631.250000,255.600,852,BG1_first4_high_rate,D,5,8,8,6,1.25,0,0-2-1-3,71
C_hardware,fixed,5.3,20,0,0.00000000,0,0.0000000000,3.600000,3.600000,4,0.000000,0,20,0,92477,4,0,49159,1.000000,7082.000000,255.600,852,BG1_first4_high_rate,C,5,7,7,6,1.25,0,0-2-1-3,71
