label,model,EbN0_dB,blocks,block_errors,BLER,BLER_CI95_low,BLER_CI95_high,bit_errors_info,BER,avg_iterations,avg_iteration_se,avg_success_iterations,max_iterations_observed,fraction_reaching_max_iterations,undetected_errors,syndrome_pass_count,convergence_failures,channel_saturation_count,q_sub_saturation_count,min_input_clip_count,app_add_saturation_count,saturation_block_fraction,saturation_events_per_block,saturation_error_blocks,saturation_clean_blocks,saturation_error_events,saturation_clean_events,expected_core_cycles,worst_configured_core_cycles,stage,profile,candidate,w_CH,w_APP,w_q,w_M,channel_gain,beta,beta_equiv,layer_order,requested_stop_errors,requested_stop_blocks,requested_stop_completed,iteration_boundary_cycles,rank_from_screen
A_rank1_g0.436_b0,fixed,4.9,20,0,0.00000000,0.00000000,0.16112516,0,0.0000000000,5.150000,0.254176,5.150000,7,0.000000,0,20,0,19861,0,0,4642,1.000000,1225.150000,0,20,0,24503,365.650,852,candidate_selection,BG1_first4_high_rate,A,4,6,6,5,0.436,0,0.000000,0-2-1-3,200,20,True,71,1
A_rank2_g0.75_b0,fixed,4.9,20,0,0.00000000,0.00000000,0.16112516,0,0.0000000000,4.850000,0.243602,4.850000,8,0.000000,0,20,0,112269,6,0,49744,1.000000,8100.950000,0,20,0,162019,344.350,852,candidate_selection,BG1_first4_high_rate,A,4,6,6,5,0.75,0,0.000000,0-2-1-3,200,20,True,71,2
A_rank3_g0.337_b0,fixed,4.9,20,1,0.05000000,0.00888145,0.23613119,8,0.0000473485,5.700000,0.391354,5.368421,12,0.050000,0,19,1,1999,0,0,11,1.000000,100.500000,1,19,98,1912,404.700,852,candidate_selection,BG1_first4_high_rate,A,4,6,6,5,0.337,0,0.000000,0-2-1-3,200,20,True,71,3
B_rank1_g0.436_b0,fixed,4.9,20,0,0.00000000,0.00000000,0.16112516,0,0.0000000000,5.150000,0.254176,5.150000,7,0.000000,0,20,0,19861,0,7,0,1.000000,993.400000,0,20,0,19868,365.650,852,candidate_selection,BG1_first4_high_rate,B,4,7,7,5,0.436,0,0.000000,0-2-1-3,200,20,True,71,1
B_rank2_g0.75_b0,fixed,4.9,20,0,0.00000000,0.00000000,0.16112516,0,0.0000000000,4.850000,0.243602,4.850000,8,0.000000,0,20,0,112269,0,307,0,1.000000,5628.800000,0,20,0,112576,344.350,852,candidate_selection,BG1_first4_high_rate,B,4,7,7,5,0.75,0,0.000000,0-2-1-3,200,20,True,71,2
B_rank3_g0.337_b0,fixed,4.9,20,1,0.05000000,0.00888145,0.23613119,8,0.0000473485,5.700000,0.391354,5.368421,12,0.050000,0,19,1,1999,0,0,0,1.000000,99.950000,1,19,98,1901,404.700,852,candidate_selection,BG1_first4_high_rate,B,4,7,7,5,0.337,0,0.000000,0-2-1-3,200,20,True,71,3
C_rank1_g1.5_b1,fixed,4.9,20,0,0.00000000,0.00000000,0.16112516,0,0.0000000000,4.650000,0.150000,4.650000,6,0.000000,0,20,0,107255,1,0,12213,1.000000,5973.450000,0,20,0,119469,330.150,852,candidate_selection,BG1_first4_high_rate,C,5,7,7,6,1.5,1,0.666667,0-2-1-3,200,20,True,71,1
C_rank2_g2.0_b1,fixed,4.9,20,0,0.00000000,0.00000000,0.16112516,0,0.0000000000,4.550000,0.153469,4.550000,6,0.000000,0,20,0,142403,42,0,96576,1.000000,11951.050000,0,20,0,239021,323.050,852,candidate_selection,BG1_first4_high_rate,C,5,7,7,6,2.0,1,0.500000,0-2-1-3,200,20,True,71,2
C_rank3_g0.697_b0,fixed,4.9,20,0,0.00000000,0.00000000,0.16112516,0,0.0000000000,4.750000,0.227977,4.750000,7,0.000000,0,20,0,2020,0,0,496,1.000000,125.800000,0,20,0,2516,337.250,852,candidate_selection,BG1_first4_high_rate,C,5,7,7,6,0.697,0,0.000000,0-2-1-3,200,20,True,71,3
D_rank1_g1.5_b1,fixed,4.9,20,0,0.00000000,0.00000000,0.16112516,0,0.0000000000,4.650000,0.150000,4.650000,6,0.000000,0,20,0,107255,0,41,0,1.000000,5364.800000,0,20,0,107296,330.150,852,candidate_selection,BG1_first4_high_rate,D,5,8,8,6,1.5,1,0.666667,0-2-1-3,200,20,True,71,1
