w_CH,gain,actual_clip_fraction_at_4p9,beta0_equiv,beta1_equiv,source
4,0.288,0.000995,0.000000,3.472222,base_or_target
4,0.337,0.009891,0.000000,2.967359,base_or_target
4,0.395,0.049886,0.000000,2.531646,base_or_target
4,0.436,0.100605,0.000000,2.293578,base_or_target
4,0.5,0.203501,0.000000,2.000000,base_or_target
4,0.527,0.250357,0.000000,1.897533,base_or_target
4,0.75,0.564222,0.000000,1.333333,base_or_target
4,1.0,0.728534,0.000000,1.000000,base_or_target
4,1.5,0.837847,0.000000,0.666667,base_or_target
4,2.0,0.871751,0.000000,0.500000,base_or_target
4,3.0,0.895570,0.000000,0.333333,base_or_target
4,4.0,0.903859,0.000000,0.250000,base_or_target
4,6.0,0.911026,0.000000,0.166667,base_or_target
4,8.0,0.914250,0.000000,0.125000,base_or_target
5,0.5,0.000019,0.000000,2.000000,base_or_target
5,0.595,0.000989,0.000000,1.680672,base_or_target
5,0.697,0.009985,0.000000,1.434720,base_or_target
5,0.75,0.022774,0.000000,1.333333,base_or_target
5,0.817,0.050268,0.000000,1.223990,base_or_target
5,0.9,0.099879,0.000000,1.111111,base_or_target
5,1.0,0.176802,0.000000,1.000000,base_or_target
5,1.089,0.250263,0.000000,0.918274,base_or_target
5,1.5,0.539394,0.000000,0.666667,base_or_target
5,2.0,0.714456,0.000000,0.500000,base_or_target
5,3.0,0.832250,0.000000,0.333333,base_or_target
5,4.0,0.868846,0.000000,0.250000,base_or_target
5,6.0,0.894306,0.000000,0.166667,base_or_target
5,8.0,0.903051,0.000000,0.125000,base_or_target
6,0.5,0.000000,0.000000,2.000000,base_or_target
6,0.75,0.000000,0.000000,1.333333,base_or_target
6,1.0,0.000006,0.000000,1.000000,base_or_target
6,1.21,0.001008,0.000000,0.826446,base_or_target
6,1.417,0.010022,0.000000,0.705716,base_or_target
6,1.5,0.019394,0.000000,0.666667,base_or_target
6,1.659,0.049886,0.000000,0.602773,base_or_target
6,1.83,0.100141,0.000000,0.546448,base_or_target
6,2.0,0.163624,0.000000,0.500000,base_or_target
6,2.212,0.249825,0.000000,0.452080,base_or_target
6,3.0,0.526449,0.000000,0.333333,base_or_target
6,4.0,0.707094,0.000000,0.250000,base_or_target
6,6.0,0.829496,0.000000,0.166667,base_or_target
6,8.0,0.867213,0.000000,0.125000,base_or_target
