label,model,EbN0_dB,blocks,block_errors,BLER,BLER_CI95_low,BLER_CI95_high,bit_errors_info,BER,avg_iterations,avg_iteration_se,avg_success_iterations,max_iterations_observed,fraction_reaching_max_iterations,undetected_errors,syndrome_pass_count,convergence_failures,channel_saturation_count,q_sub_saturation_count,min_input_clip_count,app_add_saturation_count,saturation_block_fraction,saturation_events_per_block,saturation_error_blocks,saturation_clean_blocks,saturation_error_events,saturation_clean_events,expected_core_cycles,worst_configured_core_cycles,stage,profile,candidate,w_CH,w_APP,w_q,w_M,channel_gain,beta,beta_equiv,layer_order,requested_stop_errors,requested_stop_blocks,requested_stop_completed,iteration_boundary_cycles
float,float,4.0,20,14,0.70000000,0.48102718,0.85452276,1856,0.0109848485,11.250000,0.323427,9.500000,12,0.700000,0,6,14,0,0,0,0,0.000000,0.000000,0,0,0,0,798.750,852,high_rate_sweep,BG1_first4_high_rate,float,,,,,,0.25,,0-2-1-3,200,20,True,71
A,fixed,4.0,20,20,1.00000000,0.83887484,1.00000000,5120,0.0303030303,12.000000,0.000000,0.000000,12,1.000000,0,0,20,78463,0,0,0,1.000000,3923.150000,20,0,78463,0,852.000,852,high_rate_sweep,BG1_first4_high_rate,A,4,6,6,5,0.75,0,0.000000,0-2-1-3,200,20,True,71
B,fixed,4.0,20,20,1.00000000,0.83887484,1.00000000,5120,0.0303030303,12.000000,0.000000,0.000000,12,1.000000,0,0,20,78463,0,0,0,1.000000,3923.150000,20,0,78463,0,852.000,852,high_rate_sweep,BG1_first4_high_rate,B,4,7,7,5,0.75,0,0.000000,0-2-1-3,200,20,True,71
C,fixed,4.0,20,13,0.65000000,0.43285428,0.81880818,1256,0.0074337121,11.550000,0.211200,10.500000,12,0.800000,0,6,14,116663,11,0,37844,1.000000,7725.900000,13,7,75728,78790,820.050,852,high_rate_sweep,BG1_first4_high_rate,C,5,7,7,6,2.0,1,0.500000,0-2-1-3,200,20,True,71
D,fixed,4.0,20,13,0.65000000,0.43285428,0.81880818,1256,0.0074337121,11.550000,0.211200,10.500000,12,0.800000,0,6,14,116663,0,1267,0,1.000000,5896.500000,13,7,75728,42202,820.050,852,high_rate_sweep,BG1_first4_high_rate,D,5,8,8,6,2.0,1,0.500000,0-2-1-3,200,20,True,71
E,fixed,4.0,20,13,0.65000000,0.43285428,0.81880818,1256,0.0074337121,11.550000,0.211200,10.500000,12,0.800000,0,6,14,116663,0,1267,0,1.000000,5896.500000,13,7,75728,42202,820.050,852,high_rate_sweep,BG1_first4_high_rate,E,5,8,9,6,2.0,1,0.500000,0-2-1-3,200,20,True,71
F,fixed,4.0,20,12,0.60000000,0.38658150,0.78119347,1150,0.0068063447,11.050000,0.358909,9.625000,12,0.700000,0,8,12,70136,18,101039,24438,1.000000,9781.550000,12,8,43520,152111,784.550,852,high_rate_sweep,BG1_first4_high_rate,F,6,8,8,6,3.0,1,0.333333,0-2-1-3,200,20,True,71
G,fixed,4.0,20,12,0.60000000,0.38658150,0.78119347,1150,0.0068063447,11.050000,0.358909,9.625000,12,0.700000,0,8,12,70136,0,3500,3,1.000000,3681.950000,12,8,42021,31618,784.550,852,high_rate_sweep,BG1_first4_high_rate,G,6,9,9,7,3.0,1,0.333333,0-2-1-3,200,20,True,71
WIDE,fixed,4.0,20,13,0.65000000,0.43285428,0.81880818,1604,0.0094933712,11.250000,0.315186,9.857143,12,0.700000,0,7,13,0,0,0,0,0.000000,0.000000,0,0,0,0,798.750,852,high_rate_sweep,BG1_first4_high_rate,WIDE,8,12,12,10,4.0,1,0.250000,0-2-1-3,200,20,True,71
float,float,4.5,20,1,0.05000000,0.00888145,0.23613119,81,0.0004794034,6.250000,0.403113,5.947368,12,0.050000,0,19,1,0,0,0,0,0.000000,0.000000,0,0,0,0,443.750,852,high_rate_sweep,BG1_first4_high_rate,float,,,,,,0.25,,0-2-1-3,200,20,True,71
