label,model,EbN0_dB,blocks,block_errors,BLER,BLER_CI95_low,BLER_CI95_high,bit_errors_info,BER,avg_iterations,avg_iteration_se,avg_success_iterations,max_iterations_observed,fraction_reaching_max_iterations,undetected_errors,syndrome_pass_count,convergence_failures,channel_saturation_count,q_sub_saturation_count,min_input_clip_count,app_add_saturation_count,saturation_block_fraction,saturation_events_per_block,saturation_error_blocks,saturation_clean_blocks,saturation_error_events,saturation_clean_events,expected_core_cycles,worst_configured_core_cycles,stage,profile,candidate,w_CH,w_APP,w_q,w_M,channel_gain,beta,beta_equiv,layer_order,requested_stop_errors,requested_stop_blocks,requested_stop_completed,iteration_boundary_cycles
float,float,4.5,12,0,0.00000000,0.00000000,0.24249401,0,0.0000000000,5.916667,0.287580,5.916667,8,0.000000,0,12,0,0,0,0,0,0.000000,0.000000,0,0,0,0,420.083,852,layer_order_comparison,BG1_first4_high_rate,float,,,,,,0.25,,0-1-2-3,200,12,True,71
D,fixed,4.5,12,0,0.00000000,0.00000000,0.24249401,0,0.0000000000,6.333333,0.309773,6.333333,9,0.000000,0,12,0,79299,0,4639,18,1.000000,6996.333333,0,12,0,83956,449.667,852,layer_order_comparison,BG1_first4_high_rate,D,5,8,8,6,2.0,1,0.500000,0-1-2-3,200,12,True,71
C,fixed,4.5,12,0,0.00000000,0.00000000,0.24249401,0,0.0000000000,6.333333,0.309773,6.333333,9,0.000000,0,12,0,79299,43,0,61336,1.000000,11723.166667,0,12,0,140678,449.667,852,layer_order_comparison,BG1_first4_high_rate,C,5,7,7,6,2.0,1,0.500000,0-1-2-3,200,12,True,71
float,float,4.5,12,0,0.00000000,0.00000000,0.24249401,0,0.0000000000,5.750000,0.278660,5.750000,8,0.000000,0,12,0,0,0,0,0,0.000000,0.000000,0,0,0,0,408.250,852,layer_order_comparison,BG1_first4_high_rate,float,,,,,,0.25,,0-2-1-3,200,12,True,71
D,fixed,4.5,12,0,0.00000000,0.00000000,0.24249401,0,0.0000000000,6.250000,0.278660,6.250000,8,0.000000,0,12,0,79299,0,396,0,1.000000,6641.250000,0,12,0,79695,443.750,852,layer_order_comparison,BG1_first4_high_rate,D,5,8,8,6,2.0,1,0.500000,0-2-1-3,200,12,True,71
C,fixed,4.5,12,0,0.00000000,0.00000000,0.24249401,0,0.0000000000,6.250000,0.278660,6.250000,8,0.000000,0,12,0,79299,2,0,28847,1.000000,9012.333333,0,12,0,108148,443.750,852,layer_order_comparison,BG1_first4_high_rate,C,5,7,7,6,2.0,1,0.500000,0-2-1-3,200,12,True,71
float,float,4.9,12,0,0.00000000,0.00000000,0.24249401,0,0.0000000000,4.250000,0.217597,4.250000,6,0.000000,0,12,0,0,0,0,0,0.000000,0.000000,0,0,0,0,301.750,852,layer_order_comparison,BG1_first4_high_rate,float,,,,,,0.25,,0-1-2-3,200,12,True,71
D,fixed,4.9,12,0,0.00000000,0.00000000,0.24249401,0,0.0000000000,4.416667,0.192996,4.416667,6,0.000000,0,12,0,85692,0,1227,0,1.000000,7243.250000,0,12,0,86919,313.583,852,layer_order_comparison,BG1_first4_high_rate,D,5,8,8,6,2.0,1,0.500000,0-1-2-3,200,12,True,71
C,fixed,4.9,12,0,0.00000000,0.00000000,0.24249401,0,0.0000000000,4.416667,0.192996,4.416667,6,0.000000,0,12,0,85692,28,0,49061,1.000000,11231.750000,0,12,0,134781,313.583,852,layer_order_comparison,BG1_first4_high_rate,C,5,7,7,6,2.0,1,0.500000,0-1-2-3,200,12,True,71
float,float,4.9,12,0,0.00000000,0.00000000,0.24249401,0,0.0000000000,4.166667,0.112367,4.166667,5,0.000000,0,12,0,0,0,0,0,0.000000,0.000000,0,0,0,0,295.833,852,layer_order_comparison,BG1_first4_high_rate,float,,,,,,0.25,,0-2-1-3,200,12,True,71
