stage,candidate,channel_gain,beta_int,BLER,saturation_error_blocks,saturation_clean_blocks,saturation_error_events,saturation_clean_events,saturation_events_per_block
candidate_selection,A,0.436,0,0.00000000,0,20,0,24503,1225.150000
candidate_selection,A,0.75,0,0.00000000,0,20,0,162019,8100.950000
candidate_selection,A,0.337,0,0.05000000,1,19,98,1912,100.500000
candidate_selection,B,0.436,0,0.00000000,0,20,0,19868,993.400000
candidate_selection,B,0.75,0,0.00000000,0,20,0,112576,5628.800000
candidate_selection,B,0.337,0,0.05000000,1,19,98,1901,99.950000
candidate_selection,C,1.5,1,0.00000000,0,20,0,119469,5973.450000
candidate_selection,C,2.0,1,0.00000000,0,20,0,239021,11951.050000
candidate_selection,C,0.697,0,0.00000000,0,20,0,2516,125.800000
candidate_selection,D,1.5,1,0.00000000,0,20,0,107296,5364.800000
candidate_selection,D,2.0,1,0.00000000,0,20,0,145374,7268.700000
candidate_selection,D,0.697,0,0.00000000,0,20,0,2020,101.000000
candidate_selection,E,1.5,1,0.00000000,0,20,0,107296,5364.800000
candidate_selection,E,2.0,1,0.00000000,0,20,0,145374,7268.700000
candidate_selection,E,0.697,0,0.00000000,0,20,0,2020,101.000000
candidate_selection,F,1.5,1,0.00000000,0,20,0,5331,266.550000
candidate_selection,F,2.0,1,0.00000000,0,20,0,81062,4053.100000
candidate_selection,F,3.0,1,0.00000000,0,20,0,377776,18888.800000
candidate_selection,G,1.5,1,0.00000000,0,20,0,3902,195.100000
candidate_selection,G,2.0,1,0.00000000,0,20,0,32411,1620.550000
candidate_selection,G,3.0,1,0.00000000,0,20,0,105987,5299.350000
