label,model,EbN0_dB,blocks,block_errors,BLER,BLER_CI95_low,BLER_CI95_high,bit_errors_info,BER,avg_iterations,avg_iteration_se,avg_success_iterations,max_iterations_observed,fraction_reaching_max_iterations,undetected_errors,syndrome_pass_count,convergence_failures,channel_saturation_count,q_sub_saturation_count,min_input_clip_count,app_add_saturation_count,saturation_block_fraction,saturation_events_per_block,saturation_error_blocks,saturation_clean_blocks,saturation_error_events,saturation_clean_events,expected_core_cycles,worst_configured_core_cycles,stage,profile,candidate,w_CH,w_APP,w_q,w_M,channel_gain,beta,beta_equiv,layer_order,requested_stop_errors,requested_stop_blocks,requested_stop_completed,iteration_boundary_cycles
float,float,4.9,4,0,0.00000000,0.00000000,0.48989084,0,0.0000000000,3.000000,0.000000,3.000000,3,0.000000,0,4,0,0,0,0,0,0.000000,0.000000,0,0,0,0,213.000,852,secondary_profiles,BG1_full,float,,,,,,0.25,,natural,200,4,True,71
C,fixed,4.9,4,0,0.00000000,0.00000000,0.48989084,0,0.0000000000,2.750000,0.250000,2.750000,3,0.000000,0,4,0,10580,25719,0,224343,1.000000,65160.500000,0,4,0,260642,195.250,852,secondary_profiles,BG1_full,C,5,7,7,6,2.0,1,0.500000,natural,200,4,True,71
D,fixed,4.9,4,0,0.00000000,0.00000000,0.48989084,0,0.0000000000,2.750000,0.250000,2.750000,3,0.000000,0,4,0,10580,13944,467348,82680,1.000000,143638.000000,0,4,0,574552,195.250,852,secondary_profiles,BG1_full,D,5,8,8,6,2.0,1,0.500000,natural,200,4,True,71
E,fixed,4.9,4,0,0.00000000,0.00000000,0.48989084,0,0.0000000000,2.750000,0.250000,2.750000,3,0.000000,0,4,0,10580,0,467348,83171,1.000000,140274.750000,0,4,0,561099,195.250,852,secondary_profiles,BG1_full,E,5,8,9,6,2.0,1,0.500000,natural,200,4,True,71
G,fixed,4.9,4,0,0.00000000,0.00000000,0.48989084,0,0.0000000000,2.500000,0.288675,2.500000,3,0.000000,0,4,0,1343,10487,307163,44738,1.000000,90932.750000,0,4,0,363731,177.500,852,secondary_profiles,BG1_full,G,6,9,9,7,3.0,1,0.333333,natural,200,4,True,71
float,float,4.9,4,0,0.00000000,0.00000000,0.48989084,0,0.0000000000,3.000000,0.000000,3.000000,3,0.000000,0,4,0,0,0,0,0,0.000000,0.000000,0,0,0,0,213.000,852,secondary_profiles,BG2_full,float,,,,,,0.25,,natural,200,4,True,71
C,fixed,4.9,4,0,0.00000000,0.00000000,0.48989084,0,0.0000000000,3.000000,0.000000,3.000000,3,0.000000,0,4,0,644,17364,0,71042,1.000000,22262.500000,0,4,0,89050,213.000,852,secondary_profiles,BG2_full,C,5,7,7,6,2.0,1,0.500000,natural,200,4,True,71
D,fixed,4.9,4,0,0.00000000,0.00000000,0.48989084,0,0.0000000000,3.000000,0.000000,3.000000,3,0.000000,0,4,0,644,4223,255983,9716,1.000000,67641.500000,0,4,0,270566,213.000,852,secondary_profiles,BG2_full,D,5,8,8,6,2.0,1,0.500000,natural,200,4,True,71
E,fixed,4.9,4,0,0.00000000,0.00000000,0.48989084,0,0.0000000000,3.000000,0.000000,3.000000,3,0.000000,0,4,0,644,0,255983,9915,1.000000,66635.500000,0,4,0,266542,213.000,852,secondary_profiles,BG2_full,E,5,8,9,6,2.0,1,0.500000,natural,200,4,True,71
G,fixed,4.9,4,0,0.00000000,0.00000000,0.48989084,0,0.0000000000,3.000000,0.000000,3.000000,3,0.000000,0,4,0,7,2182,213429,2818,1.000000,54609.000000,0,4,0,218436,213.000,852,secondary_profiles,BG2_full,G,6,9,9,7,3.0,1,0.333333,natural,200,4,True,71
