label,model,EbN0_dB,blocks,block_errors,BLER,BLER_CI95_low,BLER_CI95_high,bit_errors_info,BER,avg_iterations,avg_iteration_se,avg_success_iterations,max_iterations_observed,fraction_reaching_max_iterations,undetected_errors,syndrome_pass_count,convergence_failures,channel_saturation_count,channel_quantizer_clip_count,app_init_saturation_count,q_sub_saturation_count,min_input_clip_count,check_magnitude_clip_count,app_add_saturation_count,app_update_saturation_count,saturation_block_fraction,saturation_events_per_block,saturation_error_blocks,saturation_clean_blocks,saturation_error_events,saturation_clean_events,expected_core_cycles,worst_configured_core_cycles,stage,profile,candidate,config_id,w_CH,w_APP,w_q,w_M,channel_gain,ch_to_app_shift,beta,beta_equiv,clip_fraction_at_4p4,layer_order,requested_stop_errors,requested_stop_blocks,requested_stop_completed,iteration_boundary_cycles
float,float,4.4,120,0,0.00000000,0.00000000,0.03101917,0,0.0000000000,6.116667,0.102615,6.116667,10,0.000000,0,120,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,434.283,852,layer_order_comparison,BG1_first4_high_rate,float,float_beta0p25,,,,,,,0.25,,,0-1-2-3,200,120,True,71
D_ch5_app8_q8_m6_g0.759_s2_b1,fixed,4.4,120,0,0.00000000,0.00000000,0.03101917,0,0.0000000000,6.258333,0.111330,6.258333,11,0.000000,0,120,0,11978,11978,0,337,2590142,2590142,376154,376154,1.000000,24821.758333,0,120,0,2978611,444.342,852,layer_order_comparison,BG1_first4_high_rate,D,D_ch5_app8_q8_m6_g0.759_s2_b1,5,8,8,6,0.759,2,1,0.329381,0.010010,0-1-2-3,200,120,True,71
F_ch6_app8_q8_m6_g1.542_s1_b1,fixed,4.4,120,0,0.00000000,0.00000000,0.03101917,0,0.0000000000,6.133333,0.105143,6.133333,10,0.000000,0,120,0,11927,11927,0,464,2879742,2879742,474336,474336,1.000000,28053.908333,0,120,0,3366469,435.467,852,layer_order_comparison,BG1_first4_high_rate,F,F_ch6_app8_q8_m6_g1.542_s1_b1,6,8,8,6,1.542,1,1,0.324254,0.009968,0-1-2-3,200,120,True,71
float,float,4.4,120,0,0.00000000,0.00000000,0.03101917,0,0.0000000000,6.333333,0.111228,6.333333,11,0.000000,0,120,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,449.667,852,layer_order_comparison,BG1_first4_high_rate,float,float_beta0p25,,,,,,,0.25,,,0-2-1-3,200,120,True,71
D_ch5_app8_q8_m6_g0.759_s2_b1,fixed,4.4,120,0,0.00000000,0.00000000,0.03101917,0,0.0000000000,6.400000,0.108077,6.400000,11,0.000000,0,120,0,11978,11978,0,350,2415874,2415874,316639,316639,1.000000,22873.675000,0,120,0,2744841,454.400,852,layer_order_comparison,BG1_first4_high_rate,D,D_ch5_app8_q8_m6_g0.759_s2_b1,5,8,8,6,0.759,2,1,0.329381,0.010010,0-2-1-3,200,120,True,71
F_ch6_app8_q8_m6_g1.542_s1_b1,fixed,4.4,120,0,0.00000000,0.00000000,0.03101917,0,0.0000000000,6.316667,0.102479,6.316667,11,0.000000,0,120,0,11927,11927,0,495,2662515,2662515,363660,363660,1.000000,25321.641667,0,120,0,3038597,448.483,852,layer_order_comparison,BG1_first4_high_rate,F,F_ch6_app8_q8_m6_g1.542_s1_b1,6,8,8,6,1.542,1,1,0.324254,0.009968,0-2-1-3,200,120,True,71
float,float,4.9,120,0,0.00000000,0.00000000,0.03101917,0,0.0000000000,3.950000,0.055319,3.950000,5,0.000000,0,120,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,280.450,852,layer_order_comparison,BG1_first4_high_rate,float,float_beta0p25,,,,,,,0.25,,,0-1-2-3,200,120,True,71
D_ch5_app8_q8_m6_g0.759_s2_b1,fixed,4.9,120,0,0.00000000,0.00000000,0.03101917,0,0.0000000000,4.041667,0.053447,4.041667,5,0.000000,0,120,0,31180,31180,0,1021,2559441,2559441,566963,566963,1.000000,26321.708333,0,120,0,3158605,286.958,852,layer_order_comparison,BG1_first4_high_rate,D,D_ch5_app8_q8_m6_g0.759_s2_b1,5,8,8,6,0.759,2,1,0.329381,0.010010,0-1-2-3,200,120,True,71
F_ch6_app8_q8_m6_g1.542_s1_b1,fixed,4.9,120,0,0.00000000,0.00000000,0.03101917,0,0.0000000000,3.958333,0.052120,3.958333,5,0.000000,0,120,0,31092,31092,0,908,2547562,2547562,534765,534765,1.000000,25952.725000,0,120,0,3114327,281.042,852,layer_order_comparison,BG1_first4_high_rate,F,F_ch6_app8_q8_m6_g1.542_s1_b1,6,8,8,6,1.542,1,1,0.324254,0.009968,0-1-2-3,200,120,True,71
float,float,4.9,120,0,0.00000000,0.00000000,0.03101917,0,0.0000000000,4.208333,0.048645,4.208333,6,0.000000,0,120,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,298.792,852,layer_order_comparison,BG1_first4_high_rate,float,float_beta0p25,,,,,,,0.25,,,0-2-1-3,200,120,True,71
D_ch5_app8_q8_m6_g0.759_s2_b1,fixed,4.9,120,0,0.00000000,0.00000000,0.03101917,0,0.0000000000,4.275000,0.050157,4.275000,6,0.000000,0,120,0,31180,31180,0,820,2478630,2478630,487118,487118,1.000000,24981.233333,0,120,0,2997748,303.525,852,layer_order_comparison,BG1_first4_high_rate,D,D_ch5_app8_q8_m6_g0.759_s2_b1,5,8,8,6,0.759,2,1,0.329381,0.010010,0-2-1-3,200,120,True,71
