label,model,EbN0_dB,blocks,block_errors,BLER,BLER_CI95_low,BLER_CI95_high,bit_errors_info,BER,avg_iterations,avg_iteration_se,avg_success_iterations,max_iterations_observed,fraction_reaching_max_iterations,undetected_errors,syndrome_pass_count,convergence_failures,channel_saturation_count,channel_quantizer_clip_count,app_init_saturation_count,q_sub_saturation_count,min_input_clip_count,check_magnitude_clip_count,app_add_saturation_count,app_update_saturation_count,saturation_block_fraction,saturation_events_per_block,saturation_error_blocks,saturation_clean_blocks,saturation_error_events,saturation_clean_events,expected_core_cycles,worst_configured_core_cycles,stage,profile,candidate,config_id,w_CH,w_APP,w_q,w_M,channel_gain,ch_to_app_shift,beta,beta_equiv,clip_fraction_at_4p4,layer_order,requested_stop_errors,requested_stop_blocks,requested_stop_completed,iteration_boundary_cycles
C_ch5_app7_q7_m6_g0.65_s0_b0,fixed,4.4,16,5,0.31250000,0.14164644,0.55595644,932,0.0068951231,9.687500,0.568028,8.636364,12,0.375000,0,11,5,171,171,0,0,0,0,0,0,1.000000,10.687500,5,11,44,127,687.812,852,screening_4p4,BG1_first4_high_rate,C,C_ch5_app7_q7_m6_g0.65_s0_b0,5,7,7,6,0.65,0,0,0.000000,0.001019,0-2-1-3,200,16,True,71
C_ch5_app7_q7_m6_g0.65_s0_b1,fixed,4.4,16,16,1.00000000,0.80639232,1.00000000,1216,0.0089962121,12.000000,0.000000,0.000000,12,1.000000,0,0,16,171,171,0,0,0,0,0,0,1.000000,10.687500,16,0,171,0,852.000,852,screening_4p4,BG1_first4_high_rate,C,C_ch5_app7_q7_m6_g0.65_s0_b1,5,7,7,6,0.65,0,1,1.538462,0.001019,0-2-1-3,200,16,True,71
C_ch5_app7_q7_m6_g0.759_s0_b0,fixed,4.4,16,4,0.25000000,0.10182067,0.49498317,827,0.0061183120,9.187500,0.534000,8.250000,12,0.250000,0,12,4,1579,1579,0,0,0,0,131,131,1.000000,106.875000,4,12,422,1288,652.312,852,screening_4p4,BG1_first4_high_rate,C,C_ch5_app7_q7_m6_g0.759_s0_b0,5,7,7,6,0.759,0,0,0.000000,0.010010,0-2-1-3,200,16,True,71
C_ch5_app7_q7_m6_g0.759_s0_b1,fixed,4.4,16,16,1.00000000,0.80639232,1.00000000,1399,0.0103500829,12.000000,0.000000,0.000000,12,1.000000,0,0,16,1579,1579,0,0,0,0,0,0,1.000000,98.687500,16,0,1579,0,852.000,852,screening_4p4,BG1_first4_high_rate,C,C_ch5_app7_q7_m6_g0.759_s0_b1,5,7,7,6,0.759,0,1,1.317523,0.010010,0-2-1-3,200,16,True,71
C_ch5_app7_q7_m6_g0.896_s0_b0,fixed,4.4,16,5,0.31250000,0.14164644,0.55595644,886,0.0065548059,9.125000,0.569173,7.818182,12,0.312500,0,11,5,8113,8113,0,0,0,0,364,364,1.000000,529.812500,5,11,2552,5925,647.875,852,screening_4p4,BG1_first4_high_rate,C,C_ch5_app7_q7_m6_g0.896_s0_b0,5,7,7,6,0.896,0,0,0.000000,0.049999,0-2-1-3,200,16,True,71
C_ch5_app7_q7_m6_g0.896_s0_b1,fixed,4.4,16,16,1.00000000,0.80639232,1.00000000,1480,0.0109493371,12.000000,0.000000,0.000000,12,1.000000,0,0,16,8113,8113,0,0,0,0,0,0,1.000000,507.062500,16,0,8113,0,852.000,852,screening_4p4,BG1_first4_high_rate,C,C_ch5_app7_q7_m6_g0.896_s0_b1,5,7,7,6,0.896,0,1,1.116071,0.049999,0-2-1-3,200,16,True,71
C_ch5_app7_q7_m6_g0.99_s0_b0,fixed,4.4,16,4,0.25000000,0.10182067,0.49498317,831,0.0061479048,9.000000,0.547723,8.000000,12,0.250000,0,12,4,15994,15994,0,7,0,0,16700,16700,1.000000,2043.812500,4,12,4049,28652,639.000,852,screening_4p4,BG1_first4_high_rate,C,C_ch5_app7_q7_m6_g0.99_s0_b0,5,7,7,6,0.99,0,0,0.000000,0.100027,0-2-1-3,200,16,True,71
C_ch5_app7_q7_m6_g0.99_s0_b1,fixed,4.4,16,15,0.93750000,0.71671262,0.98888066,1364,0.0100911458,12.000000,0.000000,12.000000,12,1.000000,0,1,15,15994,15994,0,0,0,0,0,0,1.000000,999.625000,15,1,14998,996,852.000,852,screening_4p4,BG1_first4_high_rate,C,C_ch5_app7_q7_m6_g0.99_s0_b1,5,7,7,6,0.99,0,1,1.010101,0.100027,0-2-1-3,200,16,True,71
C_ch5_app7_q7_m6_g1.137_s0_b0,fixed,4.4,16,3,0.18750000,0.06591599,0.43008881,610,0.0045129025,8.687500,0.582514,7.923077,12,0.250000,0,13,3,31885,31885,0,38,0,0,21859,21859,1.000000,3361.375000,3,13,5995,47787,616.812,852,screening_4p4,BG1_first4_high_rate,C,C_ch5_app7_q7_m6_g1.137_s0_b0,5,7,7,6,1.137,0,0,0.000000,0.199820,0-2-1-3,200,16,True,71
C_ch5_app7_q7_m6_g1.137_s0_b1,fixed,4.4,16,9,0.56250000,0.33178556,0.76901348,450,0.0033291903,11.250000,0.322749,10.285714,12,0.687500,0,7,9,31885,31885,0,0,0,0,0,0,1.000000,1992.812500,9,7,17943,13942,798.750,852,screening_4p4,BG1_first4_high_rate,C,C_ch5_app7_q7_m6_g1.137_s0_b1,5,7,7,6,1.137,0,1,0.879507,0.199820,0-2-1-3,200,16,True,71
