candidate,config_id,w_CH,w_APP,w_q,w_M,channel_gain,ch_to_app_shift,beta,beta_equiv,blocks,block_errors,BLER,BLER_CI95_low,BLER_CI95_high,avg_iterations,expected_core_cycles,fraction_reaching_max_iterations,channel_quantizer_clip_count,app_init_saturation_count,q_sub_saturation_count,check_magnitude_clip_count,app_update_saturation_count
C,C_ch5_app7_q7_m6_g0.759_s1_b1,5,7,7,6,0.759,1,1,0.658762,800,91,0.11375000,0.09356926,0.13762242,7.457500,529.482,0.153750,115092,0,820,0,1327039
C,C_ch5_app7_q7_m6_g0.759_s2_b1,5,7,7,6,0.759,2,1,0.329381,800,135,0.16875000,0.14439355,0.19627246,6.965000,494.515,0.177500,115092,0,1179680,36192,24675485
D,D_ch5_app8_q8_m6_g0.759_s2_b1,5,8,8,6,0.759,2,1,0.329381,800,33,0.04125000,0.02952098,0.05736364,6.376250,452.714,0.056250,115092,0,3910,17121832,2875227
D,D_ch5_app8_q8_m6_g0.99_s2_b1,5,8,8,6,0.99,2,1,0.252525,800,39,0.04875000,0.03586442,0.06594852,6.381250,453.069,0.058750,940998,0,60743,37760734,8857257
F,F_ch6_app8_q8_m6_g1.542_s1_b1,6,8,8,6,1.542,1,1,0.324254,800,23,0.02875000,0.01923283,0.04277126,6.176250,438.514,0.033750,114702,0,4602,17606705,2875128
F,F_ch6_app8_q8_m6_g1.32_s1_b1,6,8,8,6,1.32,1,1,0.378788,800,23,0.02875000,0.01923283,0.04277126,6.208750,440.821,0.036250,14418,0,804,9161777,1213507
G,G_ch6_app9_q9_m7_g1.32_s1_b1,6,9,9,7,1.32,1,1,0.378788,800,23,0.02875000,0.01923283,0.04277126,6.208750,440.821,0.036250,14418,0,0,67283,512
G,G_ch6_app9_q9_m7_g1.32_s2_b2,6,9,9,7,1.32,2,2,0.378788,800,23,0.02875000,0.01923283,0.04277126,6.208750,440.821,0.036250,14418,0,804,9161782,1213641
WIDE,WIDE_ch8_app12_q12_m10_g4_s0_b1,8,12,12,10,4.0,0,1,0.250000,800,29,0.03625000,0.02535643,0.05157597,6.256250,444.194,0.047500,17,0,0,0,0
float,float_beta0p25,,,,,,,0.25,,800,28,0.03500000,0.02432471,0.05011964,6.237500,442.863,0.047500,0,0,0,0,0
