label,model,EbN0_dB,blocks,block_errors,BLER,BLER_CI95_low,BLER_CI95_high,bit_errors_info,BER,avg_iterations,avg_iteration_se,avg_success_iterations,max_iterations_observed,fraction_reaching_max_iterations,undetected_errors,syndrome_pass_count,convergence_failures,channel_saturation_count,channel_quantizer_clip_count,app_init_saturation_count,q_sub_saturation_count,min_input_clip_count,check_magnitude_clip_count,app_add_saturation_count,app_update_saturation_count,saturation_block_fraction,saturation_events_per_block,saturation_error_blocks,saturation_clean_blocks,saturation_error_events,saturation_clean_events,expected_core_cycles,worst_configured_core_cycles,stage,profile,candidate,config_id,w_CH,w_APP,w_q,w_M,channel_gain,ch_to_app_shift,beta,beta_equiv,clip_fraction_at_4p4,layer_order,requested_stop_errors,requested_stop_blocks,requested_stop_completed,iteration_boundary_cycles
float,float,4.2,200,28,0.14000000,0.09866983,0.19489881,2876,0.0017021780,8.830000,0.141796,8.292398,12,0.190000,0,171,29,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,626.930,852,targeted_sweep,BG1_first4_high_rate,float,float_beta0p25,,,,,,,0.25,,,0-2-1-3,200,200,True,71
WIDE,fixed,4.2,200,29,0.14500000,0.10289351,0.20048668,2863,0.0016944839,8.875000,0.140698,8.345029,12,0.190000,0,171,29,1,1,0,0,0,0,0,0,0.005000,0.005000,0,1,0,1,630.125,852,targeted_sweep,BG1_first4_high_rate,WIDE,WIDE_ch8_app12_q12_m10_g4_s0_b1,8,12,12,10,4.0,0,1,0.250000,0.000003,0-2-1-3,200,200,True,71
C_ch5_app7_q7_m6_g0.759_s1_b1,fixed,4.2,200,90,0.45000000,0.38264068,0.51924385,6073,0.0035943419,11.005000,0.098353,10.104762,12,0.590000,0,105,95,12862,12862,0,61,0,0,148143,148143,1.000000,805.330000,90,110,5937,155129,781.355,852,targeted_sweep,BG1_first4_high_rate,C,C_ch5_app7_q7_m6_g0.759_s1_b1,5,7,7,6,0.759,1,1,0.658762,0.010010,0-2-1-3,200,200,True,71
C_ch5_app7_q7_m6_g0.759_s2_b1,fixed,4.2,200,60,0.30000000,0.24074745,0.36679068,143188,0.0847466856,9.410000,0.150908,8.300000,12,0.330000,0,140,60,12862,12862,0,250233,2486,2486,5618743,5618743,1.000000,29421.620000,60,140,1407734,4476590,668.110,852,targeted_sweep,BG1_first4_high_rate,C,C_ch5_app7_q7_m6_g0.759_s2_b1,5,7,7,6,0.759,2,1,0.329381,0.010010,0-2-1-3,200,200,True,71
D_ch5_app8_q8_m6_g0.759_s2_b1,fixed,4.2,200,33,0.16500000,0.11996855,0.22265782,2936,0.0017376894,9.105000,0.138440,8.532934,12,0.220000,0,167,33,12862,12862,0,493,4150370,4150370,534795,534795,1.000000,23492.600000,33,167,299338,4399182,646.455,852,targeted_sweep,BG1_first4_high_rate,D,D_ch5_app8_q8_m6_g0.759_s2_b1,5,8,8,6,0.759,2,1,0.329381,0.010010,0-2-1-3,200,200,True,71
D_ch5_app8_q8_m6_g0.99_s2_b1,fixed,4.2,200,36,0.18000000,0.13294626,0.23911475,11918,0.0070537405,9.120000,0.140809,8.487805,12,0.220000,0,164,36,157221,157221,0,10199,10809522,10809522,1795855,1795855,1.000000,63863.985000,36,164,1588185,11184612,647.520,852,targeted_sweep,BG1_first4_high_rate,D,D_ch5_app8_q8_m6_g0.99_s2_b1,5,8,8,6,0.99,2,1,0.252525,0.100027,0-2-1-3,200,200,True,71
F_ch6_app8_q8_m6_g1.32_s1_b1,fixed,4.2,200,23,0.11500000,0.07786373,0.16664717,1787,0.0010576468,8.750000,0.130085,8.306818,12,0.145000,0,176,24,1112,1112,0,111,2076888,2076888,231616,231616,1.000000,11548.635000,23,177,64792,2244935,621.250,852,targeted_sweep,BG1_first4_high_rate,F,F_ch6_app8_q8_m6_g1.32_s1_b1,6,8,8,6,1.32,1,1,0.378788,0.001000,0-2-1-3,200,200,True,71
F_ch6_app8_q8_m6_g1.542_s1_b1,fixed,4.2,200,23,0.11500000,0.07786373,0.16664717,1943,0.0011499763,8.695000,0.129785,8.244318,12,0.135000,0,176,24,12810,12810,0,497,4302098,4302098,503315,503315,1.000000,24093.600000,23,177,223047,4595673,617.345,852,targeted_sweep,BG1_first4_high_rate,F,F_ch6_app8_q8_m6_g1.542_s1_b1,6,8,8,6,1.542,1,1,0.324254,0.009968,0-2-1-3,200,200,True,71
G_ch6_app9_q9_m7_g1.32_s1_b1,fixed,4.2,200,23,0.11500000,0.07786373,0.16664717,1787,0.0010576468,8.750000,0.130085,8.306818,12,0.145000,0,176,24,1112,1112,0,0,10122,10122,12,12,1.000000,56.230000,23,177,122,11124,621.250,852,targeted_sweep,BG1_first4_high_rate,G,G_ch6_app9_q9_m7_g1.32_s1_b1,6,9,9,7,1.32,1,1,0.378788,0.001000,0-2-1-3,200,200,True,71
G_ch6_app9_q9_m7_g1.32_s2_b2,fixed,4.2,200,23,0.11500000,0.07786373,0.16664717,1787,0.0010576468,8.750000,0.130085,8.306818,12,0.145000,0,176,24,1112,1112,0,111,2076888,2076888,231634,231634,1.000000,11548.725000,23,177,64792,2244953,621.250,852,targeted_sweep,BG1_first4_high_rate,G,G_ch6_app9_q9_m7_g1.32_s2_b2,6,9,9,7,1.32,2,2,0.378788,0.001000,0-2-1-3,200,200,True,71
