D_A,D_R,cycles_per_iteration,service_lower_bound,delta_T_above_lower_bound,best_layer_order,STALL_RAW,STALL_APP_BANK,STALL_Q_BUFFER,STALL_FORWARD_CAPACITY,STALL_CONTEXT,STALL_REC_NOT_CLOSED,STALL_PIPE_RESOURCE,STALL_PAIRING,STALL_OTHER,ACC_utilization,REC_utilization,steady_state_overlap_utilization,B_lane_utilization,forwarded_APP_reads,max_live_forward_vectors,tau_f_min,tau_f_avg,tau_f_max,lookahead_cycles_hidden,delta_vs_ipctek_133,percent_reduction_vs_ipctek_133,meets_minimum_success,meets_strong_target,meets_promising_target,required_relative_frequency_vs_DA4_DR4,allowable_frequency_loss_pct_vs_DA4_DR4,required_frequency_gain_pct_vs_DA4_DR4,time_us_at_200_mhz,time_us_at_220_mhz,time_us_at_250_mhz,time_us_at_280_mhz,time_us_at_300_mhz,time_us_at_320_mhz,time_us_at_350_mhz,graph_name,graph_is_synthetic,graph_source_note
2,2,62,50,12,3-2-1-0,10,0,0,0,0,21,0,0,0,0.6451612903225806,0.6451612903225806,0.5833333333333334,0.95,29,6,2,2.42,3,8,71,53.383458646616546,True,True,True,0.7948717948717948,20.512820512820518,0.0,0.31,0.2818181818181818,0.248,0.22142857142857142,0.20666666666666667,0.19375,0.17714285714285713,BG1_Z384_iLS1,False,ACTUAL 5G NR BG1 DATA from https://github.com/manuts/NR-LDPC-BG commit 910ecbc9e81d43e318079aec535dc9a166a76b2a; file NR_1_1_384.txt; iLS=1; Z=384.
2,3,66,50,16,0-2-1-3,13,0,0,0,0,24,0,0,0,0.6060606060606061,0.6060606060606061,0.4358974358974359,0.95,32,8,3,3.36,4,9,67,50.37593984962406,True,True,False,0.8461538461538461,15.384615384615385,0.0,0.33,0.3,0.264,0.2357142857142857,0.22,0.20625,0.18857142857142858,BG1_Z384_iLS1,False,ACTUAL 5G NR BG1 DATA from https://github.com/manuts/NR-LDPC-BG commit 910ecbc9e81d43e318079aec535dc9a166a76b2a; file NR_1_1_384.txt; iLS=1; Z=384.
2,4,70,50,20,3-2-0-1,16,0,0,0,0,27,0,0,0,0.5714285714285714,0.5714285714285714,0.35714285714285715,0.95,24,8,4,4.466666666666667,5,7,63,47.368421052631575,True,True,False,0.8974358974358975,10.256410256410254,0.0,0.35,0.3181818181818182,0.28,0.25,0.23333333333333334,0.21875,0.2,BG1_Z384_iLS1,False,ACTUAL 5G NR BG1 DATA from https://github.com/manuts/NR-LDPC-BG commit 910ecbc9e81d43e318079aec535dc9a166a76b2a; file NR_1_1_384.txt; iLS=1; Z=384.
2,5,77,50,27,1-2-0-3,22,0,0,0,0,33,0,0,0,0.5194805194805194,0.5194805194805194,0.20833333333333334,0.95,23,8,5,5.439024390243903,6,8,56,42.10526315789473,True,False,False,0.9871794871794872,1.2820512820512775,0.0,0.385,0.35,0.308,0.275,0.25666666666666665,0.240625,0.22,BG1_Z384_iLS1,False,ACTUAL 5G NR BG1 DATA from https://github.com/manuts/NR-LDPC-BG commit 910ecbc9e81d43e318079aec535dc9a166a76b2a; file NR_1_1_384.txt; iLS=1; Z=384.
2,6,83,50,33,0-2-3-1,27,0,0,0,0,38,0,0,0,0.4819277108433735,0.4819277108433735,0.18867924528301888,0.95,27,8,6,6.228571428571429,7,11,50,37.59398496240601,True,False,False,1.064102564102564,0.0,6.41025641025641,0.415,0.37727272727272726,0.332,0.29642857142857143,0.27666666666666667,0.259375,0.23714285714285716,BG1_Z384_iLS1,False,ACTUAL 5G NR BG1 DATA from https://github.com/manuts/NR-LDPC-BG commit 910ecbc9e81d43e318079aec535dc9a166a76b2a; file NR_1_1_384.txt; iLS=1; Z=384.
3,2,66,50,16,3-2-1-0,13,0,0,0,0,25,0,0,0,0.6060606060606061,0.6060606060606061,0.5263157894736842,0.95,29,6,2,2.42,3,9,67,50.37593984962406,True,True,False,0.8461538461538461,15.384615384615385,0.0,0.33,0.3,0.264,0.2357142857142857,0.22,0.20625,0.18857142857142858,BG1_Z384_iLS1,False,ACTUAL 5G NR BG1 DATA from https://github.com/manuts/NR-LDPC-BG commit 910ecbc9e81d43e318079aec535dc9a166a76b2a; file NR_1_1_384.txt; iLS=1; Z=384.
3,3,70,50,20,0-2-1-3,16,0,0,0,0,28,0,0,0,0.5714285714285714,0.5714285714285714,0.3902439024390244,0.95,32,8,3,3.36,4,10,63,47.368421052631575,True,True,False,0.8974358974358975,10.256410256410254,0.0,0.35,0.3181818181818182,0.28,0.25,0.23333333333333334,0.21875,0.2,BG1_Z384_iLS1,False,ACTUAL 5G NR BG1 DATA from https://github.com/manuts/NR-LDPC-BG commit 910ecbc9e81d43e318079aec535dc9a166a76b2a; file NR_1_1_384.txt; iLS=1; Z=384.
3,4,74,50,24,3-2-0-1,19,0,0,0,0,31,0,0,0,0.5405405405405406,0.5405405405405406,0.29545454545454547,0.95,24,8,4,4.466666666666667,5,9,59,44.3609022556391,True,False,False,0.9487179487179487,5.128205128205132,0.0,0.37,0.33636363636363636,0.296,0.2642857142857143,0.24666666666666667,0.23125,0.21142857142857144,BG1_Z384_iLS1,False,ACTUAL 5G NR BG1 DATA from https://github.com/manuts/NR-LDPC-BG commit 910ecbc9e81d43e318079aec535dc9a166a76b2a; file NR_1_1_384.txt; iLS=1; Z=384.
3,5,80,50,30,1-2-0-3,24,0,0,0,0,36,0,0,0,0.5,0.5,0.20408163265306123,0.95,23,8,5,5.439024390243903,6,9,53,39.849624060150376,True,False,False,1.0256410256410255,0.0,2.564102564102555,0.4,0.36363636363636365,0.32,0.2857142857142857,0.26666666666666666,0.25,0.22857142857142856,BG1_Z384_iLS1,False,ACTUAL 5G NR BG1 DATA from https://github.com/manuts/NR-LDPC-BG commit 910ecbc9e81d43e318079aec535dc9a166a76b2a; file NR_1_1_384.txt; iLS=1; Z=384.
3,6,87,50,37,0-2-3-1,30,0,0,0,0,42,0,0,0,0.45977011494252873,0.45977011494252873,0.18181818181818182,0.95,27,8,6,6.228571428571429,7,11,46,34.58646616541353,True,False,False,1.1153846153846154,0.0,11.538461538461542,0.435,0.39545454545454545,0.348,0.3107142857142857,0.29,0.271875,0.24857142857142858,BG1_Z384_iLS1,False,ACTUAL 5G NR BG1 DATA from https://github.com/manuts/NR-LDPC-BG commit 910ecbc9e81d43e318079aec535dc9a166a76b2a; file NR_1_1_384.txt; iLS=1; Z=384.
4,2,70,50,20,3-2-1-0,16,0,0,0,0,29,0,0,0,0.5714285714285714,0.5714285714285714,0.475,0.95,29,6,2,2.42,3,10,63,47.368421052631575,True,True,False,0.8974358974358975,10.256410256410254,0.0,0.35,0.3181818181818182,0.28,0.25,0.23333333333333334,0.21875,0.2,BG1_Z384_iLS1,False,ACTUAL 5G NR BG1 DATA from https://github.com/manuts/NR-LDPC-BG commit 910ecbc9e81d43e318079aec535dc9a166a76b2a; file NR_1_1_384.txt; iLS=1; Z=384.
4,3,74,50,24,0-2-1-3,19,0,0,0,0,32,0,0,0,0.5405405405405406,0.5405405405405406,0.3488372093023256,0.95,32,8,3,3.36,4,11,59,44.3609022556391,True,False,False,0.9487179487179487,5.128205128205132,0.0,0.37,0.33636363636363636,0.296,0.2642857142857143,0.24666666666666667,0.23125,0.21142857142857144,BG1_Z384_iLS1,False,ACTUAL 5G NR BG1 DATA from https://github.com/manuts/NR-LDPC-BG commit 910ecbc9e81d43e318079aec535dc9a166a76b2a; file NR_1_1_384.txt; iLS=1; Z=384.
4,4,78,50,28,3-2-0-1,22,0,0,0,0,35,0,0,0,0.5128205128205128,0.5128205128205128,0.2608695652173913,0.95,24,8,4,4.466666666666667,5,10,55,41.35338345864661,True,False,False,1.0,0.0,0.0,0.39,0.35454545454545455,0.312,0.2785714285714286,0.26,0.24375,0.22285714285714286,BG1_Z384_iLS1,False,ACTUAL 5G NR BG1 DATA from https://github.com/manuts/NR-LDPC-BG commit 910ecbc9e81d43e318079aec535dc9a166a76b2a; file NR_1_1_384.txt; iLS=1; Z=384.
4,5,84,50,34,1-2-0-3,27,0,0,0,0,40,0,0,0,0.47619047619047616,0.47619047619047616,0.17647058823529413,0.95,23,8,5,5.439024390243903,6,10,49,36.84210526315789,True,False,False,1.0769230769230769,0.0,7.692307692307687,0.42,0.38181818181818183,0.336,0.3,0.28,0.2625,0.24,BG1_Z384_iLS1,False,ACTUAL 5G NR BG1 DATA from https://github.com/manuts/NR-LDPC-BG commit 910ecbc9e81d43e318079aec535dc9a166a76b2a; file NR_1_1_384.txt; iLS=1; Z=384.
4,6,91,50,41,0-2-3-1,33,0,0,0,0,46,0,0,0,0.43956043956043955,0.43956043956043955,0.17543859649122806,0.95,27,8,6,6.228571428571429,7,11,42,31.57894736842105,True,False,False,1.1666666666666667,0.0,16.666666666666675,0.455,0.41363636363636364,0.364,0.325,0.30333333333333334,0.284375,0.26,BG1_Z384_iLS1,False,ACTUAL 5G NR BG1 DATA from https://github.com/manuts/NR-LDPC-BG commit 910ecbc9e81d43e318079aec535dc9a166a76b2a; file NR_1_1_384.txt; iLS=1; Z=384.
5,2,74,50,24,3-2-1-0,19,0,0,0,0,33,0,0,0,0.5405405405405406,0.5405405405405406,0.4523809523809524,0.95,29,6,2,2.42,3,10,59,44.3609022556391,True,False,False,0.9487179487179487,5.128205128205132,0.0,0.37,0.33636363636363636,0.296,0.2642857142857143,0.24666666666666667,0.23125,0.21142857142857144,BG1_Z384_iLS1,False,ACTUAL 5G NR BG1 DATA from https://github.com/manuts/NR-LDPC-BG commit 910ecbc9e81d43e318079aec535dc9a166a76b2a; file NR_1_1_384.txt; iLS=1; Z=384.
5,3,78,50,28,0-2-1-3,22,0,0,0,0,36,0,0,0,0.5128205128205128,0.5128205128205128,0.3111111111111111,0.95,32,8,3,3.36,4,12,55,41.35338345864661,True,False,False,1.0,0.0,0.0,0.39,0.35454545454545455,0.312,0.2785714285714286,0.26,0.24375,0.22285714285714286,BG1_Z384_iLS1,False,ACTUAL 5G NR BG1 DATA from https://github.com/manuts/NR-LDPC-BG commit 910ecbc9e81d43e318079aec535dc9a166a76b2a; file NR_1_1_384.txt; iLS=1; Z=384.
5,4,82,50,32,3-2-0-1,25,0,0,0,0,39,0,0,0,0.4878048780487805,0.4878048780487805,0.25,0.95,24,8,4,4.466666666666667,5,10,51,38.34586466165413,True,False,False,1.0512820512820513,0.0,5.128205128205132,0.41,0.37272727272727274,0.328,0.29285714285714287,0.2733333333333333,0.25625,0.2342857142857143,BG1_Z384_iLS1,False,ACTUAL 5G NR BG1 DATA from https://github.com/manuts/NR-LDPC-BG commit 910ecbc9e81d43e318079aec535dc9a166a76b2a; file NR_1_1_384.txt; iLS=1; Z=384.
5,5,88,50,38,1-2-0-3,30,0,0,0,0,44,0,0,0,0.45454545454545453,0.45454545454545453,0.1509433962264151,0.95,23,8,5,5.439024390243903,6,11,45,33.83458646616541,True,False,False,1.1282051282051282,0.0,12.82051282051282,0.44,0.4,0.352,0.3142857142857143,0.29333333333333333,0.275,0.25142857142857145,BG1_Z384_iLS1,False,ACTUAL 5G NR BG1 DATA from https://github.com/manuts/NR-LDPC-BG commit 910ecbc9e81d43e318079aec535dc9a166a76b2a; file NR_1_1_384.txt; iLS=1; Z=384.
5,6,95,50,45,0-2-3-1,36,0,0,0,0,50,0,0,0,0.42105263157894735,0.42105263157894735,0.1694915254237288,0.95,27,8,6,6.228571428571429,7,11,38,28.57142857142857,True,False,False,1.2179487179487178,0.0,21.794871794871785,0.475,0.4318181818181818,0.38,0.3392857142857143,0.31666666666666665,0.296875,0.2714285714285714,BG1_Z384_iLS1,False,ACTUAL 5G NR BG1 DATA from https://github.com/manuts/NR-LDPC-BG commit 910ecbc9e81d43e318079aec535dc9a166a76b2a; file NR_1_1_384.txt; iLS=1; Z=384.
6,2,78,50,28,3-2-1-0,22,0,0,0,0,37,0,0,0,0.5128205128205128,0.5128205128205128,0.4318181818181818,0.95,29,6,2,2.42,3,10,55,41.35338345864661,True,False,False,1.0,0.0,0.0,0.39,0.35454545454545455,0.312,0.2785714285714286,0.26,0.24375,0.22285714285714286,BG1_Z384_iLS1,False,ACTUAL 5G NR BG1 DATA from https://github.com/manuts/NR-LDPC-BG commit 910ecbc9e81d43e318079aec535dc9a166a76b2a; file NR_1_1_384.txt; iLS=1; Z=384.
6,3,82,50,32,0-2-1-3,25,0,0,0,0,40,0,0,0,0.4878048780487805,0.4878048780487805,0.2978723404255319,0.95,32,8,3,3.36,4,12,51,38.34586466165413,True,False,False,1.0512820512820513,0.0,5.128205128205132,0.41,0.37272727272727274,0.328,0.29285714285714287,0.2733333333333333,0.25625,0.2342857142857143,BG1_Z384_iLS1,False,ACTUAL 5G NR BG1 DATA from https://github.com/manuts/NR-LDPC-BG commit 910ecbc9e81d43e318079aec535dc9a166a76b2a; file NR_1_1_384.txt; iLS=1; Z=384.
6,4,86,50,36,3-2-0-1,28,0,0,0,0,43,0,0,0,0.46511627906976744,0.46511627906976744,0.24,0.95,24,8,4,4.466666666666667,5,10,47,35.338345864661655,True,False,False,1.1025641025641026,0.0,10.256410256410264,0.43,0.39090909090909093,0.344,0.30714285714285716,0.2866666666666667,0.26875,0.24571428571428572,BG1_Z384_iLS1,False,ACTUAL 5G NR BG1 DATA from https://github.com/manuts/NR-LDPC-BG commit 910ecbc9e81d43e318079aec535dc9a166a76b2a; file NR_1_1_384.txt; iLS=1; Z=384.
6,5,92,50,42,1-2-0-3,33,0,0,0,0,48,0,0,0,0.43478260869565216,0.43478260869565216,0.14545454545454545,0.95,23,8,5,5.439024390243903,6,11,41,30.82706766917293,True,False,False,1.1794871794871795,0.0,17.948717948717952,0.46,0.41818181818181815,0.368,0.32857142857142857,0.30666666666666664,0.2875,0.26285714285714284,BG1_Z384_iLS1,False,ACTUAL 5G NR BG1 DATA from https://github.com/manuts/NR-LDPC-BG commit 910ecbc9e81d43e318079aec535dc9a166a76b2a; file NR_1_1_384.txt; iLS=1; Z=384.
6,6,99,50,49,0-2-3-1,39,0,0,0,0,54,0,0,0,0.40404040404040403,0.40404040404040403,0.16393442622950818,0.95,27,8,6,6.228571428571429,7,11,34,25.563909774436087,True,False,False,1.2692307692307692,0.0,26.923076923076916,0.495,0.45,0.396,0.3535714285714286,0.33,0.309375,0.28285714285714286,BG1_Z384_iLS1,False,ACTUAL 5G NR BG1 DATA from https://github.com/manuts/NR-LDPC-BG commit 910ecbc9e81d43e318079aec535dc9a166a76b2a; file NR_1_1_384.txt; iLS=1; Z=384.
