profile,column,final_layer_id,final_edge_id,final_rec_pair_id,rec_issue_cycle,final_forward_valid_cycle,syndrome_work_items_for_column
BG1_first4_high_rate,0,3,0,8,66,69,4
BG1_first4_high_rate,1,3,1,1,59,62,3
BG1_first4_high_rate,2,1,1,3,48,51,3
BG1_first4_high_rate,3,3,2,3,61,64,3
BG1_first4_high_rate,4,3,3,3,61,64,3
BG1_first4_high_rate,5,1,4,4,49,52,3
BG1_first4_high_rate,6,3,4,1,59,62,3
BG1_first4_high_rate,7,3,5,4,62,65,3
BG1_first4_high_rate,8,3,6,4,62,65,3
BG1_first4_high_rate,9,1,7,8,53,56,3
BG1_first4_high_rate,10,3,7,2,60,63,3
BG1_first4_high_rate,11,3,8,5,63,66,3
BG1_first4_high_rate,12,3,9,5,63,66,3
BG1_first4_high_rate,13,3,10,2,60,63,3
BG1_first4_high_rate,14,3,11,6,64,67,3
BG1_first4_high_rate,15,1,11,6,50,53,3
BG1_first4_high_rate,16,3,12,6,64,67,3
BG1_first4_high_rate,17,3,13,8,66,69,3
BG1_first4_high_rate,18,3,14,0,58,61,3
BG1_first4_high_rate,19,1,14,7,51,54,3
BG1_first4_high_rate,20,3,15,0,58,61,3
BG1_first4_high_rate,21,3,16,7,65,68,3
BG1_first4_high_rate,22,3,17,7,65,68,3
BG1_first4_high_rate,23,1,17,2,47,50,2
BG1_first4_high_rate,24,1,18,8,53,56,2
BG1_first4_high_rate,25,3,18,9,67,70,2
BG1_full,0,44,0,0,280,283,30
BG1_full,1,45,0,0,284,287,28
BG1_full,2,33,1,0,231,234,7
BG1_full,3,41,1,0,269,272,11
BG1_full,4,42,1,0,273,276,9
BG1_full,5,21,1,0,177,180,4
BG1_full,6,45,1,0,284,287,8
BG1_full,7,44,1,0,280,283,12
BG1_full,8,40,1,0,266,269,8
BG1_full,9,44,2,1,282,285,7
BG1_full,10,45,2,1,285,288,12
BG1_full,11,33,2,1,233,236,10
BG1_full,12,38,3,1,260,263,12
BG1_full,13,37,1,0,248,251,11
BG1_full,14,36,1,0,247,250,10
BG1_full,15,36,2,1,249,252,7
BG1_full,16,43,1,0,278,281,10
BG1_full,17,40,2,1,267,270,10
BG1_full,18,43,2,1,276,279,13
BG1_full,19,39,3,1,259,262,7
BG1_full,20,21,3,1,180,183,8
BG1_full,21,33,3,1,233,236,11
BG1_full,22,44,3,1,282,285,12
BG1_full,23,37,2,1,250,253,5
BG1_full,24,42,2,1,274,277,6
BG1_full,25,43,3,1,276,279,6
BG1_full,26,4,2,1,74,77,1
BG1_full,27,5,7,2,77,80,1
BG1_full,28,6,8,3,89,92,1
BG1_full,29,7,6,2,93,96,1
BG1_full,30,8,9,3,102,105,1
BG1_full,31,9,8,4,109,112,1
BG1_full,32,10,6,2,113,116,1
BG1_full,33,11,7,2,122,125,1
BG1_full,34,12,6,3,128,131,1
BG1_full,35,13,5,2,134,137,1
BG1_full,36,14,6,2,143,146,1
BG1_full,37,15,6,2,149,152,1
BG1_full,38,16,5,2,153,156,1
BG1_full,39,17,5,2,156,159,1
BG1_full,40,18,5,2,164,167,1
BG1_full,41,19,5,1,169,172,1
BG1_full,42,20,5,2,175,178,1
BG1_full,43,21,5,2,178,181,1
BG1_full,44,22,4,2,184,187,1
BG1_full,45,23,4,2,188,191,1
BG1_full,46,24,5,2,192,195,1
BG1_full,47,25,4,2,196,199,1
BG1_full,48,26,4,2,200,203,1
BG1_full,49,27,3,1,203,206,1
BG1_full,50,28,4,2,212,215,1
BG1_full,51,29,4,2,214,217,1
BG1_full,52,30,4,2,223,226,1
BG1_full,53,31,4,2,225,228,1
BG1_full,54,32,4,2,232,235,1
BG1_full,55,33,4,2,234,237,1
BG1_full,56,34,4,2,241,244,1
BG1_full,57,35,4,2,243,246,1
BG1_full,58,36,4,2,251,254,1
BG1_full,59,37,3,1,250,253,1
BG1_full,60,38,4,2,261,264,1
BG1_full,61,39,4,2,262,265,1
BG1_full,62,40,3,1,267,270,1
BG1_full,63,41,4,2,270,273,1
BG1_full,64,42,3,1,274,277,1
BG1_full,65,43,4,2,277,280,1
BG1_full,66,44,4,2,281,284,1
BG1_full,67,45,3,1,285,288,1
BG2_single0,0,0,0,0,6,9,1
BG2_single0,1,0,1,0,6,9,1
BG2_single0,2,0,2,1,7,10,1
BG2_single0,3,0,3,1,7,10,1
BG2_single0,6,0,4,2,8,11,1
BG2_single0,9,0,5,2,8,11,1
BG2_single0,10,0,6,3,9,12,1
BG2_single0,11,0,7,3,9,12,1
BG2_full,0,39,0,0,215,218,22
BG2_full,1,41,0,0,224,227,23
BG2_full,2,40,0,0,220,223,10
BG2_full,3,23,1,0,152,155,5
BG2_full,4,29,1,0,174,177,5
BG2_full,5,41,1,0,224,227,14
BG2_full,6,27,1,0,167,170,7
BG2_full,7,39,1,0,215,218,13
BG2_full,8,21,1,0,145,148,6
BG2_full,9,30,3,1,180,183,8
BG2_full,10,40,1,0,220,223,9
BG2_full,11,41,2,1,225,228,16
BG2_full,12,39,2,1,218,221,9
BG2_full,13,40,2,1,221,224,12
BG2_full,14,4,3,0,42,45,1
BG2_full,15,5,5,2,50,53,1
BG2_full,16,6,5,0,58,61,1
BG2_full,17,7,5,0,65,68,1
BG2_full,18,8,3,0,70,73,1
BG2_full,19,9,4,1,79,82,1
BG2_full,20,10,4,1,86,89,1
BG2_full,21,11,4,2,95,98,1
BG2_full,22,12,3,1,96,99,1
BG2_full,23,13,4,1,103,106,1
BG2_full,24,14,4,2,110,113,1
BG2_full,25,15,3,1,114,117,1
BG2_full,26,16,4,1,121,124,1
BG2_full,27,17,4,0,131,134,1
BG2_full,28,18,3,1,132,135,1
BG2_full,29,19,3,1,138,141,1
BG2_full,30,20,3,1,143,146,1
BG2_full,31,21,3,1,146,149,1
BG2_full,32,22,2,1,151,154,1
BG2_full,33,23,3,1,153,156,1
BG2_full,34,24,3,1,158,161,1
BG2_full,35,25,2,1,161,164,1
BG2_full,36,26,4,2,166,169,1
BG2_full,37,27,2,1,168,171,1
BG2_full,38,28,3,1,172,175,1
BG2_full,39,29,2,1,175,178,1
BG2_full,40,30,4,2,183,186,1
BG2_full,41,31,2,1,182,185,1
BG2_full,42,32,3,1,187,190,1
BG2_full,43,33,3,1,189,192,1
BG2_full,44,34,3,1,197,200,1
BG2_full,45,35,3,1,198,201,1
BG2_full,46,36,3,1,206,209,1
BG2_full,47,37,2,1,207,210,1
BG2_full,48,38,3,1,214,217,1
BG2_full,49,39,3,1,218,221,1
BG2_full,50,40,3,1,221,224,1
BG2_full,51,41,3,1,225,228,1
