profile,rec_cycle,layer_id,pair_id,column_A,edge_A,final_touch_A,column_B,edge_B,final_touch_B
BG1_first4_high_rate,15,0,0,0,0,False,1,1,False
BG1_first4_high_rate,16,0,2,5,4,False,6,5,False
BG1_first4_high_rate,17,0,3,9,6,False,10,7,False
BG1_first4_high_rate,18,0,5,13,10,False,15,11,False
BG1_first4_high_rate,19,0,7,19,14,False,20,15,False
BG1_first4_high_rate,20,0,1,2,2,False,3,3,False
BG1_first4_high_rate,21,0,6,16,12,False,18,13,False
BG1_first4_high_rate,22,0,4,11,8,False,12,9,False
BG1_first4_high_rate,23,0,8,21,16,False,22,17,False
BG1_first4_high_rate,24,0,9,23,18,False,,,
BG1_first4_high_rate,27,2,0,7,6,False,8,7,False
BG1_first4_high_rate,28,2,2,14,11,False,17,13,False
BG1_first4_high_rate,29,2,1,24,17,False,25,18,False
BG1_first4_high_rate,30,2,3,0,0,False,1,1,False
BG1_first4_high_rate,31,2,4,5,4,False,6,5,False
BG1_first4_high_rate,32,2,5,9,8,False,10,9,False
BG1_first4_high_rate,33,2,6,18,14,False,19,15,False
BG1_first4_high_rate,34,2,7,13,10,False,15,12,False
BG1_first4_high_rate,35,2,8,2,2,False,20,16,False
BG1_first4_high_rate,36,2,9,4,3,False,,,
BG1_first4_high_rate,44,1,0,11,8,False,12,9,False
BG1_first4_high_rate,45,1,1,21,15,False,22,16,False
BG1_first4_high_rate,46,1,5,7,5,False,8,6,False
BG1_first4_high_rate,47,1,2,16,12,False,23,17,True
BG1_first4_high_rate,48,1,3,0,0,False,2,1,True
BG1_first4_high_rate,49,1,4,4,3,False,5,4,True
BG1_first4_high_rate,50,1,6,14,10,False,15,11,True
BG1_first4_high_rate,51,1,7,17,13,False,19,14,True
BG1_first4_high_rate,52,1,9,3,2,False,,,
BG1_first4_high_rate,53,1,8,9,7,True,24,18,True
BG1_first4_high_rate,58,3,0,18,14,True,20,15,True
BG1_first4_high_rate,59,3,1,1,1,True,6,4,True
BG1_first4_high_rate,60,3,2,10,7,True,13,10,True
BG1_first4_high_rate,61,3,3,3,2,True,4,3,True
BG1_first4_high_rate,62,3,4,7,5,True,8,6,True
BG1_first4_high_rate,63,3,5,11,8,True,12,9,True
BG1_first4_high_rate,64,3,6,14,11,True,16,12,True
BG1_first4_high_rate,65,3,7,21,16,True,22,17,True
BG1_first4_high_rate,66,3,8,0,0,True,17,13,True
BG1_first4_high_rate,67,3,9,25,18,True,,,
BG1_full,14,0,1,2,2,False,3,3,False
BG1_full,15,0,4,11,8,False,12,9,False
BG1_full,16,0,8,21,16,False,22,17,False
BG1_full,17,0,0,0,0,False,1,1,False
BG1_full,18,0,3,9,6,False,10,7,False
BG1_full,19,0,2,5,4,False,6,5,False
BG1_full,20,0,5,13,10,False,15,11,False
BG1_full,21,0,7,19,14,False,20,15,False
BG1_full,22,0,6,16,12,False,18,13,False
BG1_full,23,0,9,23,18,False,,,
BG1_full,32,1,0,7,5,False,8,6,False
BG1_full,33,1,1,14,10,False,17,13,False
BG1_full,34,1,2,0,0,False,2,1,False
BG1_full,35,1,3,9,7,False,11,8,False
BG1_full,36,1,4,15,11,False,16,12,False
BG1_full,37,1,5,19,14,False,21,15,False
BG1_full,38,1,7,3,2,False,5,4,False
BG1_full,39,1,9,24,18,False,,,
BG1_full,40,1,8,4,3,False,12,9,False
BG1_full,41,1,6,22,16,False,23,17,False
BG1_full,49,2,0,10,9,False,13,10,False
BG1_full,50,2,1,18,14,False,20,16,False
BG1_full,51,2,2,1,1,False,6,5,False
BG1_full,52,2,4,7,6,False,8,7,False
BG1_full,53,2,6,17,13,False,19,15,False
BG1_full,54,2,3,2,2,False,4,3,False
BG1_full,55,2,5,14,11,False,15,12,False
BG1_full,56,2,9,25,18,False,,,
BG1_full,57,2,7,0,0,False,5,4,False
BG1_full,58,2,8,9,8,False,24,17,False
BG1_full,63,3,3,0,0,False,1,1,False
BG1_full,64,3,1,21,16,False,22,17,False
BG1_full,65,3,2,3,2,False,16,12,False
BG1_full,66,3,0,11,8,False,12,9,False
BG1_full,67,3,7,17,13,False,18,14,False
BG1_full,68,3,4,4,3,False,6,4,False
BG1_full,69,4,0,0,0,False,1,1,False
BG1_full,70,3,6,13,10,False,14,11,False
BG1_full,71,3,5,7,5,False,8,6,False
BG1_full,72,3,8,20,15,False,25,18,False
BG1_full,73,3,9,10,7,False,,,
BG1_full,74,4,1,26,2,True,,,
BG1_full,75,5,0,3,2,False,12,3,False
BG1_full,76,5,3,0,0,False,1,1,False
BG1_full,77,5,2,22,6,False,27,7,True
BG1_full,78,5,1,16,4,False,21,5,False
BG1_full,85,6,4,0,0,False,,,
BG1_full,86,6,1,11,3,False,13,4,False
BG1_full,87,6,2,17,5,False,18,6,False
BG1_full,88,6,0,6,1,False,10,2,False
BG1_full,89,6,3,20,7,False,28,8,True
BG1_full,91,7,0,1,1,False,4,2,False
BG1_full,92,7,3,0,0,False,,,
BG1_full,93,7,2,14,5,False,29,6,True
BG1_full,95,7,1,7,3,False,8,4,False
BG1_full,98,8,4,0,0,False,1,1,False
