BG,profile,active_layer_profile,Z,schedule_length,decoder_iteration_cycles,queue_depth,valid,max_queue_occupancy,max_queue_occupancy_cycle,max_syndrome_backlog,total_syndrome_work,first_final_touch_cycle,last_final_touch_cycle,syndrome_engine_utilization,syndrome_complete_cycle,syndrome_tail_cycles,effective_iteration_boundary,selected_layer_order
BG1,BG1_first4_high_rate,0-1-2-3,384,70,70,2,True,2,56,7,76,50,70,0.452381,71,1,71,0-2-1-3
BG1,BG1_first4_high_rate,0-1-2-3,384,70,70,4,True,2,56,7,76,50,70,0.452381,71,1,71,0-2-1-3
BG1,BG1_first4_high_rate,0-1-2-3,384,70,70,8,True,2,56,7,76,50,70,0.452381,71,1,71,0-2-1-3
BG1,BG1_first4_high_rate,0-1-2-3,384,70,70,16,True,2,56,7,76,50,70,0.452381,71,1,71,0-2-1-3
BG1,BG1_full,all,384,288,288,2,False,8,288,71,316,77,288,0.179545,297,9,297,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45
BG1,BG1_full,all,384,288,288,4,False,8,288,71,316,77,288,0.179545,297,9,297,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45
BG1,BG1_full,all,384,288,288,8,True,8,288,71,316,77,288,0.179545,297,9,297,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45
BG1,BG1_full,all,384,288,288,16,True,8,288,71,316,77,288,0.179545,297,9,297,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45
BG2,BG2_single0,0,384,12,12,2,True,2,9,2,8,9,12,0.250000,13,1,13,0
BG2,BG2_single0,0,384,12,12,4,True,2,9,2,8,9,12,0.250000,13,1,13,0
BG2,BG2_single0,0,384,12,12,8,True,2,9,2,8,9,12,0.250000,13,1,13,0
BG2,BG2_single0,0,384,12,12,16,True,2,9,2,8,9,12,0.250000,13,1,13,0
BG2,BG2_full,all,384,228,228,2,False,4,223,51,197,45,228,0.129605,235,7,235,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41
BG2,BG2_full,all,384,228,228,4,True,4,223,51,197,45,228,0.129605,235,7,235,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41
BG2,BG2_full,all,384,228,228,8,True,4,223,51,197,45,228,0.129605,235,7,235,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41
BG2,BG2_full,all,384,228,228,16,True,4,223,51,197,45,228,0.129605,235,7,235,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41
