profile,base_graph,active_layers,S,Q,valid,decoder_iteration_cycles,total_qc_syndrome_work_items,first_finalized_column_cycle,last_finalized_column_cycle,maximum_syndrome_backlog,maximum_finalized_column_queue_occupancy,required_queue_depth,syndrome_engine_utilization,syndrome_completion_cycle,additional_tail_cycles,effective_iteration_boundary,selected_layer_order
BG1_first4_high_rate,1,0-1-2-3,1,2,False,70,76,50,70,56,19,19,1.000000,126,56,126,0-2-1-3
BG1_first4_high_rate,1,0-1-2-3,1,4,False,70,76,50,70,56,19,19,1.000000,126,56,126,0-2-1-3
BG1_first4_high_rate,1,0-1-2-3,1,8,False,70,76,50,70,56,19,19,1.000000,126,56,126,0-2-1-3
BG1_first4_high_rate,1,0-1-2-3,1,16,False,70,76,50,70,56,19,19,1.000000,126,56,126,0-2-1-3
BG1_first4_high_rate,1,0-1-2-3,2,2,False,70,76,50,70,39,13,13,0.950000,90,20,90,0-2-1-3
BG1_first4_high_rate,1,0-1-2-3,2,4,False,70,76,50,70,39,13,13,0.950000,90,20,90,0-2-1-3
BG1_first4_high_rate,1,0-1-2-3,2,8,False,70,76,50,70,39,13,13,0.950000,90,20,90,0-2-1-3
BG1_first4_high_rate,1,0-1-2-3,2,16,True,70,76,50,70,39,13,13,0.950000,90,20,90,0-2-1-3
BG1_first4_high_rate,1,0-1-2-3,4,2,False,70,76,50,70,23,8,8,0.730769,76,6,76,0-2-1-3
BG1_first4_high_rate,1,0-1-2-3,4,4,False,70,76,50,70,23,8,8,0.730769,76,6,76,0-2-1-3
BG1_first4_high_rate,1,0-1-2-3,4,8,True,70,76,50,70,23,8,8,0.730769,76,6,76,0-2-1-3
BG1_first4_high_rate,1,0-1-2-3,4,16,True,70,76,50,70,23,8,8,0.730769,76,6,76,0-2-1-3
BG1_first4_high_rate,1,0-1-2-3,8,2,True,70,76,50,70,7,2,2,0.452381,71,1,71,0-2-1-3
BG1_first4_high_rate,1,0-1-2-3,8,4,True,70,76,50,70,7,2,2,0.452381,71,1,71,0-2-1-3
BG1_first4_high_rate,1,0-1-2-3,8,8,True,70,76,50,70,7,2,2,0.452381,71,1,71,0-2-1-3
BG1_first4_high_rate,1,0-1-2-3,8,16,True,70,76,50,70,7,2,2,0.452381,71,1,71,0-2-1-3
BG1_first4_high_rate,1,0-1-2-3,16,2,True,70,76,50,70,7,2,2,0.226190,71,1,71,0-2-1-3
BG1_first4_high_rate,1,0-1-2-3,16,4,True,70,76,50,70,7,2,2,0.226190,71,1,71,0-2-1-3
BG1_first4_high_rate,1,0-1-2-3,16,8,True,70,76,50,70,7,2,2,0.226190,71,1,71,0-2-1-3
BG1_first4_high_rate,1,0-1-2-3,16,16,True,70,76,50,70,7,2,2,0.226190,71,1,71,0-2-1-3
BG1_full,1,all,1,2,False,288,316,77,288,222,29,29,0.729792,510,222,510,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45
BG1_full,1,all,1,4,False,288,316,77,288,222,29,29,0.729792,510,222,510,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45
BG1_full,1,all,1,8,False,288,316,77,288,222,29,29,0.729792,510,222,510,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45
