profile,finalized_column,layer_id,edge_id,column,shift,final_forward_valid_cycle
BG1_first4_high_rate,0,0,0,0,307,69
BG1_first4_high_rate,0,1,0,0,76,69
BG1_first4_high_rate,0,2,0,0,205,69
BG1_first4_high_rate,0,3,0,0,276,69
BG1_first4_high_rate,1,0,1,1,19,62
BG1_first4_high_rate,1,2,1,1,250,62
BG1_first4_high_rate,1,3,1,1,87,62
BG1_first4_high_rate,2,0,2,2,50,51
BG1_first4_high_rate,2,1,1,2,76,51
BG1_first4_high_rate,2,2,2,2,328,51
BG1_first4_high_rate,3,0,3,3,369,64
BG1_first4_high_rate,3,1,2,3,73,64
BG1_first4_high_rate,3,3,2,3,0,64
BG1_first4_high_rate,4,1,3,4,288,64
BG1_first4_high_rate,4,2,3,4,332,64
BG1_first4_high_rate,4,3,3,4,275,64
BG1_first4_high_rate,5,0,4,5,181,52
BG1_first4_high_rate,5,1,4,5,144,52
BG1_first4_high_rate,5,2,4,5,256,52
BG1_first4_high_rate,6,0,5,6,216,62
BG1_first4_high_rate,6,2,5,6,161,62
BG1_first4_high_rate,6,3,4,6,199,62
BG1_first4_high_rate,7,1,5,7,331,65
BG1_first4_high_rate,7,2,6,7,267,65
BG1_first4_high_rate,7,3,5,7,153,65
BG1_first4_high_rate,8,1,6,8,331,65
BG1_first4_high_rate,8,2,7,8,160,65
BG1_first4_high_rate,8,3,6,8,56,65
BG1_first4_high_rate,9,0,6,9,317,56
BG1_first4_high_rate,9,1,7,9,178,56
BG1_first4_high_rate,9,2,8,9,63,56
BG1_first4_high_rate,10,0,7,10,288,63
BG1_first4_high_rate,10,2,9,10,129,63
BG1_first4_high_rate,10,3,7,10,132,63
BG1_first4_high_rate,11,0,8,11,109,66
BG1_first4_high_rate,11,1,8,11,295,66
BG1_first4_high_rate,11,3,8,11,305,66
BG1_first4_high_rate,12,0,9,12,17,66
BG1_first4_high_rate,12,1,9,12,342,66
BG1_first4_high_rate,12,3,9,12,231,66
BG1_first4_high_rate,13,0,10,13,357,63
BG1_first4_high_rate,13,2,10,13,200,63
BG1_first4_high_rate,13,3,10,13,341,63
BG1_first4_high_rate,14,1,10,14,217,67
BG1_first4_high_rate,14,2,11,14,88,67
BG1_first4_high_rate,14,3,11,14,212,67
BG1_first4_high_rate,15,0,11,15,215,53
BG1_first4_high_rate,15,1,11,15,99,53
BG1_first4_high_rate,15,2,12,15,53,53
BG1_first4_high_rate,16,0,12,16,106,67
BG1_first4_high_rate,16,1,12,16,354,67
BG1_first4_high_rate,16,3,12,16,304,67
BG1_first4_high_rate,17,1,13,17,114,69
BG1_first4_high_rate,17,2,13,17,131,69
BG1_first4_high_rate,17,3,13,17,300,69
BG1_first4_high_rate,18,0,13,18,242,61
BG1_first4_high_rate,18,2,14,18,240,61
BG1_first4_high_rate,18,3,14,18,271,61
BG1_first4_high_rate,19,0,14,19,180,54
BG1_first4_high_rate,19,1,14,19,331,54
BG1_first4_high_rate,19,2,15,19,205,54
BG1_first4_high_rate,20,0,15,20,330,61
BG1_first4_high_rate,20,2,16,20,13,61
BG1_first4_high_rate,20,3,15,20,39,61
BG1_first4_high_rate,21,0,16,21,346,68
BG1_first4_high_rate,21,1,15,21,112,68
BG1_first4_high_rate,21,3,16,21,357,68
BG1_first4_high_rate,22,0,17,22,1,68
BG1_first4_high_rate,22,1,16,22,0,68
BG1_first4_high_rate,22,3,17,22,1,68
BG1_first4_high_rate,23,0,18,23,0,50
BG1_first4_high_rate,23,1,17,23,0,50
BG1_first4_high_rate,24,1,18,24,0,56
BG1_first4_high_rate,24,2,17,24,0,56
BG1_first4_high_rate,25,2,18,25,0,70
BG1_first4_high_rate,25,3,18,25,0,70
BG1_full,0,0,0,0,307,283
BG1_full,0,1,0,0,76,283
BG1_full,0,2,0,0,205,283
BG1_full,0,3,0,0,276,283
BG1_full,0,4,0,0,332,283
BG1_full,0,5,0,0,195,283
BG1_full,0,6,0,0,278,283
BG1_full,0,7,0,0,9,283
BG1_full,0,8,0,0,307,283
BG1_full,0,9,0,0,366,283
BG1_full,0,11,0,0,48,283
BG1_full,0,12,0,0,77,283
BG1_full,0,13,0,0,313,283
BG1_full,0,14,0,0,142,283
BG1_full,0,15,0,0,241,283
BG1_full,0,17,0,0,260,283
BG1_full,0,19,0,0,145,283
BG1_full,0,20,0,0,187,283
BG1_full,0,22,0,0,30,283
BG1_full,0,24,0,0,298,283
BG1_full,0,26,0,0,71,283
BG1_full,0,28,0,0,222,283
BG1_full,0,30,0,0,159,283
BG1_full,0,32,0,0,102,283
BG1_full,0,34,0,0,230,283
BG1_full,0,36,0,0,210,283
BG1_full,0,38,0,0,185,283
BG1_full,0,40,0,0,175,283
BG1_full,0,42,0,0,113,283
BG1_full,0,44,0,0,80,283
BG1_full,1,0,1,1,19,287
BG1_full,1,2,1,1,250,287
BG1_full,1,3,1,1,87,287
BG1_full,1,4,1,1,181,287
BG1_full,1,5,1,1,14,287
BG1_full,1,7,1,1,62,287
BG1_full,1,8,1,1,179,287
BG1_full,1,9,1,1,232,287
BG1_full,1,10,0,1,101,287
BG1_full,1,11,1,1,102,287
BG1_full,1,12,1,1,186,287
BG1_full,1,15,1,1,2,287
BG1_full,1,16,0,1,13,287
BG1_full,1,18,0,1,130,287
BG1_full,1,19,1,1,213,287
BG1_full,1,21,0,1,205,287
BG1_full,1,23,0,1,24,287
BG1_full,1,25,0,1,72,287
BG1_full,1,27,0,1,194,287
BG1_full,1,29,0,1,252,287
BG1_full,1,31,0,1,100,287
BG1_full,1,33,0,1,323,287
BG1_full,1,35,0,1,320,287
BG1_full,1,37,0,1,269,287
BG1_full,1,39,0,1,258,287
BG1_full,1,41,0,1,52,287
BG1_full,1,43,0,1,113,287
BG1_full,1,45,0,1,135,287
BG1_full,2,0,2,2,50,234
BG1_full,2,1,1,2,76,234
BG1_full,2,2,2,2,328,234
BG1_full,2,10,1,2,339,234
BG1_full,2,23,1,2,89,234
BG1_full,2,26,1,2,81,234
BG1_full,2,33,1,2,8,234
BG1_full,3,0,3,3,369,272
BG1_full,3,1,2,3,73,272
BG1_full,3,3,2,3,0,272
BG1_full,3,5,2,3,115,272
BG1_full,3,8,2,3,165,272
BG1_full,3,13,1,3,177,272
BG1_full,3,16,1,3,338,272
BG1_full,3,20,1,3,206,272
BG1_full,3,24,1,3,158,272
BG1_full,3,39,1,3,93,272
BG1_full,3,41,1,3,314,272
BG1_full,4,1,3,4,288,276
BG1_full,4,2,3,4,332,276
BG1_full,4,3,3,4,275,276
BG1_full,4,7,2,4,316,276
BG1_full,4,10,2,4,274,276
BG1_full,4,24,2,4,235,276
BG1_full,4,26,2,4,76,276
BG1_full,4,28,1,4,19,276
BG1_full,4,42,1,4,14,276
BG1_full,5,0,4,5,181,180
BG1_full,5,1,4,5,144,180
BG1_full,5,2,4,5,256,180
BG1_full,5,21,1,5,102,180
BG1_full,6,0,5,6,216,287
BG1_full,6,2,5,6,161,287
BG1_full,6,3,4,6,199,287
BG1_full,6,6,1,6,257,287
BG1_full,6,25,1,6,17,287
BG1_full,6,27,1,6,194,287
BG1_full,6,35,1,6,335,287
BG1_full,6,45,1,6,149,287
BG1_full,7,1,5,7,331,283
BG1_full,7,2,6,7,267,283
BG1_full,7,3,5,7,153,283
BG1_full,7,7,3,7,333,283
BG1_full,7,10,3,7,111,283
BG1_full,7,13,2,7,266,283
BG1_full,7,19,2,7,344,283
BG1_full,7,25,2,7,383,283
BG1_full,7,31,1,7,215,283
BG1_full,7,34,1,7,148,283
BG1_full,7,39,2,7,346,283
BG1_full,7,44,1,7,78,283
BG1_full,8,1,6,8,331,269
BG1_full,8,2,7,8,160,269
BG1_full,8,3,6,8,56,269
BG1_full,8,7,4,8,290,269
BG1_full,8,10,4,8,383,269
BG1_full,8,19,3,8,242,269
BG1_full,8,27,2,8,101,269
BG1_full,8,40,1,8,37,269
BG1_full,9,0,6,9,317,285
BG1_full,9,1,7,9,178,285
BG1_full,9,2,8,9,63,285
BG1_full,9,20,2,9,264,285
BG1_full,9,38,1,9,177,285
BG1_full,9,41,2,9,139,285
BG1_full,9,44,2,9,163,285
BG1_full,10,0,7,10,288,288
BG1_full,10,2,9,10,129,288
BG1_full,10,3,7,10,132,288
BG1_full,10,6,2,10,1,288
BG1_full,10,9,2,10,321,288
BG1_full,10,12,2,10,174,288
BG1_full,10,15,2,10,210,288
BG1_full,10,19,4,10,197,288
BG1_full,10,23,2,10,61,288
BG1_full,10,30,1,10,229,288
BG1_full,10,38,2,10,289,288
BG1_full,10,45,2,10,15,288
BG1_full,11,0,8,11,109,236
BG1_full,11,1,8,11,295,236
BG1_full,11,3,8,11,305,236
BG1_full,11,6,3,11,351,236
BG1_full,11,9,3,11,133,236
BG1_full,11,12,3,11,232,236
BG1_full,11,16,2,11,57,236
BG1_full,11,20,3,11,341,236
BG1_full,11,24,3,11,339,236
BG1_full,11,33,2,11,361,236
BG1_full,12,0,9,12,17,263
BG1_full,12,1,9,12,342,263
BG1_full,12,3,9,12,231,263
BG1_full,12,5,3,12,166,263
BG1_full,12,8,3,12,18,263
BG1_full,12,11,2,12,8,263
BG1_full,12,14,1,12,248,263
BG1_full,12,18,1,12,163,263
BG1_full,12,22,1,12,11,263
BG1_full,12,32,1,12,201,263
BG1_full,12,35,2,12,2,263
BG1_full,12,38,3,12,214,263
BG1_full,13,0,10,13,357,251
BG1_full,13,2,10,13,200,251
BG1_full,13,3,10,13,341,251
BG1_full,13,6,4,13,92,251
BG1_full,13,9,4,13,57,251
BG1_full,13,12,4,13,50,251
BG1_full,13,15,3,13,318,251
BG1_full,13,18,2,13,280,251
BG1_full,13,22,2,13,233,251
BG1_full,13,30,2,13,260,251
BG1_full,13,37,1,13,82,251
BG1_full,14,1,10,14,217,250
BG1_full,14,2,11,14,88,250
BG1_full,14,3,11,14,212,250
BG1_full,14,7,5,14,114,250
BG1_full,14,10,5,14,354,250
BG1_full,14,17,1,14,303,250
BG1_full,14,25,3,14,312,250
BG1_full,14,29,1,14,5,250
BG1_full,14,32,2,14,175,250
BG1_full,14,36,1,14,313,250
BG1_full,15,0,11,15,215,252
BG1_full,15,1,11,15,99,252
BG1_full,15,2,12,15,53,252
BG1_full,15,14,2,15,137,252
BG1_full,15,26,3,15,136,252
BG1_full,15,34,2,15,202,252
BG1_full,15,36,2,15,297,252
BG1_full,16,0,12,16,106,281
BG1_full,16,1,12,16,354,281
BG1_full,16,3,12,16,304,281
BG1_full,16,5,4,16,241,281
BG1_full,16,8,4,16,39,281
BG1_full,16,11,3,16,47,281
BG1_full,16,14,3,16,89,281
BG1_full,16,17,2,16,81,281
BG1_full,16,21,2,16,328,281
BG1_full,16,43,1,16,132,281
BG1_full,17,1,13,17,114,270
BG1_full,17,2,13,17,131,270
BG1_full,17,3,13,17,300,270
BG1_full,17,6,5,17,253,270
BG1_full,17,9,5,17,303,270
BG1_full,17,14,4,17,347,270
BG1_full,17,17,3,17,358,270
BG1_full,17,22,3,17,22,270
BG1_full,17,34,3,17,312,270
BG1_full,17,40,2,17,312,270
BG1_full,18,0,13,18,242,279
BG1_full,18,2,14,18,240,279
BG1_full,18,3,14,18,271,279
BG1_full,18,6,6,18,18,279
BG1_full,18,9,6,18,63,279
BG1_full,18,12,5,18,74,279
BG1_full,18,15,4,18,55,279
BG1_full,18,18,3,18,132,279
BG1_full,18,23,3,18,27,279
BG1_full,18,29,2,18,147,279
BG1_full,18,36,3,18,21,279
BG1_full,18,41,3,18,288,279
BG1_full,18,43,2,18,114,279
BG1_full,19,0,14,19,180,262
BG1_full,19,1,14,19,331,262
BG1_full,19,2,15,19,205,262
BG1_full,19,8,5,19,224,262
BG1_full,19,18,4,19,4,262
BG1_full,19,28,2,19,244,262
BG1_full,19,39,3,19,297,262
BG1_full,20,0,15,20,330,183
BG1_full,20,2,16,20,13,183
BG1_full,20,3,15,20,39,183
BG1_full,20,6,7,20,225,183
BG1_full,20,9,7,20,82,183
BG1_full,20,13,3,20,115,183
BG1_full,20,16,3,20,289,183
BG1_full,20,21,3,20,213,183
BG1_full,21,0,16,21,346,236
BG1_full,21,1,15,21,112,236
BG1_full,21,3,16,21,357,236
BG1_full,21,5,5,21,51,236
BG1_full,21,8,6,21,368,236
BG1_full,21,11,4,21,188,236
BG1_full,21,14,5,21,12,236
BG1_full,21,17,4,21,375,236
BG1_full,21,21,4,21,97,236
BG1_full,21,28,3,21,274,236
BG1_full,21,33,3,21,105,236
BG1_full,22,0,17,22,1,285
BG1_full,22,1,16,22,0,285
BG1_full,22,3,17,22,1,285
BG1_full,22,5,6,22,157,285
BG1_full,22,8,7,22,67,285
BG1_full,22,11,5,22,334,285
BG1_full,22,16,4,22,57,285
BG1_full,22,20,4,22,59,285
BG1_full,22,24,4,22,234,285
BG1_full,22,31,2,22,258,285
BG1_full,22,35,3,22,266,285
BG1_full,22,44,3,22,274,285
BG1_full,23,0,18,23,0,253
BG1_full,23,1,17,23,0,253
BG1_full,23,11,6,23,115,253
BG1_full,23,13,4,23,370,253
BG1_full,23,37,2,23,115,253
BG1_full,24,1,18,24,0,277
BG1_full,24,2,17,24,0,277
BG1_full,24,8,8,24,170,277
BG1_full,24,30,3,24,90,277
BG1_full,24,32,3,24,287,277
BG1_full,24,42,2,24,218,277
BG1_full,25,2,18,25,0,279
BG1_full,25,3,18,25,0,279
BG1_full,25,15,5,25,269,279
BG1_full,25,29,3,25,78,279
BG1_full,25,31,3,25,256,279
BG1_full,25,43,3,25,168,279
BG1_full,26,4,2,26,0,77
BG1_full,27,5,7,27,0,80
BG1_full,28,6,8,28,0,92
BG1_full,29,7,6,29,0,96
BG1_full,30,8,9,30,0,105
BG1_full,31,9,8,31,0,112
BG1_full,32,10,6,32,0,116
BG1_full,33,11,7,33,0,125
BG1_full,34,12,6,34,0,131
BG1_full,35,13,5,35,0,137
BG1_full,36,14,6,36,0,146
BG1_full,37,15,6,37,0,152
BG1_full,38,16,5,38,0,156
BG1_full,39,17,5,39,0,159
BG1_full,40,18,5,40,0,167
BG1_full,41,19,5,41,0,172
BG1_full,42,20,5,42,0,178
BG1_full,43,21,5,43,0,181
BG1_full,44,22,4,44,0,187
BG1_full,45,23,4,45,0,191
BG1_full,46,24,5,46,0,195
BG1_full,47,25,4,47,0,199
BG1_full,48,26,4,48,0,203
BG1_full,49,27,3,49,0,206
BG1_full,50,28,4,50,0,215
BG1_full,51,29,4,51,0,217
BG1_full,52,30,4,52,0,226
BG1_full,53,31,4,53,0,228
BG1_full,54,32,4,54,0,235
BG1_full,55,33,4,55,0,237
BG1_full,56,34,4,56,0,244
BG1_full,57,35,4,57,0,246
BG1_full,58,36,4,58,0,254
BG1_full,59,37,3,59,0,253
BG1_full,60,38,4,60,0,264
BG1_full,61,39,4,61,0,265
BG1_full,62,40,3,62,0,270
BG1_full,63,41,4,63,0,273
BG1_full,64,42,3,64,0,277
BG1_full,65,43,4,65,0,280
BG1_full,66,44,4,66,0,284
BG1_full,67,45,3,67,0,288
BG2_single0,0,0,0,0,174,9
BG2_single0,1,0,1,1,97,9
BG2_single0,2,0,2,2,166,10
BG2_single0,3,0,3,3,66,10
BG2_single0,6,0,4,6,71,11
BG2_single0,9,0,5,9,172,11
BG2_single0,10,0,6,10,0,12
BG2_single0,11,0,7,11,0,12
BG2_full,0,0,0,0,174,218
BG2_full,0,1,0,0,27,218
BG2_full,0,2,0,0,25,218
BG2_full,0,4,0,0,72,218
BG2_full,0,5,0,0,10,218
BG2_full,0,6,0,0,129,218
BG2_full,0,8,0,0,118,218
BG2_full,0,10,0,0,59,218
BG2_full,0,11,0,0,32,218
BG2_full,0,13,0,0,49,218
BG2_full,0,15,0,0,68,218
BG2_full,0,18,0,0,186,218
BG2_full,0,19,0,0,58,218
BG2_full,0,21,0,0,157,218
BG2_full,0,23,0,0,106,218
BG2_full,0,25,0,0,45,218
BG2_full,0,27,0,0,103,218
BG2_full,0,29,0,0,110,218
BG2_full,0,32,0,0,84,218
BG2_full,0,34,0,0,173,218
BG2_full,0,36,0,0,25,218
BG2_full,0,39,0,0,93,218
BG2_full,1,0,1,1,97,227
BG2_full,1,2,1,1,114,227
BG2_full,1,3,0,1,136,227
BG2_full,1,4,1,1,74,227
BG2_full,1,5,1,1,44,227
BG2_full,1,7,0,1,80,227
BG2_full,1,8,1,1,70,227
BG2_full,1,9,0,1,28,227
BG2_full,1,10,1,1,104,227
BG2_full,1,12,0,1,39,227
